Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 6,2,2,0,11
HKIS Div 13,2,2,0,11
JSA 1,2,1,1,7
i-Mask Advance Squash Club 7,2,1,1,5
Smart Squash 2,1,1,0,5
Bravo D13,2,0,2,2
Smart Squash 3,1,0,1,1
NEXUS 3,2,0,2,0
Vitality Squash 2,0,0,0,0
