Team,Played,Won,Lost,Points
Hong Kong Cricket Club M1A,2,2,0,8
Hong Kong Football Club M1A,2,2,0,7
Hong Kong Cricket Club M1B,2,0,2,1
Hong Kong Football Club M1B,1,0,1,0
Squashathon M+,1,0,1,0
