Team,Played,Won,Lost,Points
JESSICA L4,2,2,0,9
Hong Kong Football Club JSA,2,1,1,5
Hong Kong Cricket Club Rockettes,2,1,1,5
JESSICA Mochis,2,1,1,5
Hong Kong Cricket Club L4,2,1,1,4
Squashathon Ladies,1,1,0,4
The Squash Club L4,1,1,0,4
Hong Kong Football Club L4,2,0,2,2
Kwai Tsing District Squash Club L4,2,0,2,2
