Team,Played,Won,Lost,Points
Kowloon Cricket Club 3B,2,2,0,9
Kowloon Cricket Club 3A,2,1,1,7
X-Alpha 1,2,1,1,7
NEXUS 1,2,1,1,6
Happy Squash 1,2,1,1,6
United Services Recreation Club 1,2,1,1,5
Hong Kong Football Club 3B,2,1,1,4
Hong Kong Football Club 3A,2,0,2,4
