Home Team,Away Team,Venue,Match Week,Date
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4B,Royal Hong Kong Yacht Club,19,2025-03-20
Hong Kong Football Club M4A,United Services Recreation Club M4,Hong Kong Football Club,19,2025-03-20
WAKO,Royal Hong Kong Yacht Club M4,Masters - Harbour Road Sports Centre,20,2025-03-27
United Services Recreation Club M4,Hong Kong Club Blue,United Services Recreation Club,20,2025-03-27
Bolton,Hong Kong Football Club M4A,Masters - HK Squash Centre,20,2025-03-27
Hong Kong Football Club M4B,SKCSC,Hong Kong Football Club,20,2025-03-27
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4A,Royal Hong Kong Yacht Club,21,2025-04-03
SKCSC,Hong Kong Club Blue,Masters - Cornwall Street Squash Centre,21,2025-04-03
Hong Kong Football Club M4B,WAKO,Hong Kong Football Club,21,2025-04-03
Bolton,United Services Recreation Club M4,Masters - HK Squash Centre,21,2025-04-03
