Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 1,21,20,1,103,83,22,0,13,0,0
Alpha CUHK,22,17,5,99,82,28,0,6,0,0
South China Athletic Association,22,17,5,90,73,37,0,7,0,0
Sea Bear,22,15,7,90,75,35,0,9,0,0
Winter Warriors,21,14,7,85,71,34,4,6,0,3
Hong Kong Football Club 12A,22,15,7,78,63,47,0,12,0,0
ZOMA,22,9,13,59,50,60,0,8,0,1
Star River 2,22,8,14,51,43,67,0,11,0,0
Hong Kong Football Club 12B,22,7,15,47,41,69,6,14,1,1
Hong Kong Racketlon Assoication 2,22,5,17,28,29,81,31,1,0,1
CSD Squash Team,22,2,20,19,21,89,31,0,4,0
Latecomers,22,2,20,17,24,86,16,1,1,0
