Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,20,20,0,96,76,24,0,0,0,0
The Squash Club 3,20,14,6,77,63,37,0,0,0,0
BOSS,20,12,8,67,55,45,0,0,0,0
Kinetic 3,20,12,8,64,52,48,0,0,0,0
Star River 1,20,10,10,61,51,49,0,0,0,0
Global Squash 2,20,8,12,58,50,50,0,0,0,0
Tuen Mun Squash Club,20,10,10,57,47,53,0,0,0,0
HKCC Tuesday Night Rockers,20,9,11,56,47,53,0,0,0,0
i-Mask Advance Squash Club 4,20,6,14,46,40,60,0,0,0,0
Invader Squash,20,5,15,38,33,67,0,0,0,0
7NT,20,4,16,38,36,64,0,0,0,0
