Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10
SKCSC M4,18,14.0,4.0,81.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAKO,18,13.0,5.0,71.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong Football Club M4A,18,12.0,6.0,66.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kowloon Cricket Club M4,18,12.0,6.0,66.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong Football Club M4B,18,11.0,7.0,64.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
United Services Recreation Club M4,18,8.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hong Kong Cricket Club M4,18,9.0,9.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Bolton,18,4.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Hong Kong Club Blue,18,3.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Royal Hong Kong Yacht Club M4,18,4.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
