Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
The Squash Club 3,80.0,86.66666666666667,100.0,100.0,87.5,90.83333333333334,66
Craigengower Cricket Club,86.66666666666667,80.0,57.14285714285714,46.15384615384615,70.0,67.992673992674,67
North District Sports Association 1,50.0,50.0,62.5,60.0,85.71428571428571,61.642857142857146,77
Arctic Circle,66.66666666666666,40.0,53.333333333333336,66.66666666666666,20.0,49.33333333333333,70
MM Squash,60.0,66.66666666666666,53.333333333333336,38.46153846153847,25.0,48.69230769230769,66
X-Alpha 5,46.666666666666664,33.33333333333333,57.14285714285714,54.54545454545454,50.0,48.33766233766234,65
Star River 2,20.0,33.33333333333333,26.666666666666668,20.0,46.15384615384615,29.230769230769234,73
Squashathon SocGen,13.333333333333334,20.0,14.285714285714285,46.15384615384615,50.0,28.754578754578755,67
Greenfield,26.666666666666668,40.0,26.666666666666668,20.0,20.0,26.666666666666668,75
