Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
UST,v,Hong Kong Football Club 7A,Cornwall Street Squash Centre,19:00,,19,12/03/2025
Kinetic 1,v,Hong Kong Cricket Club 5,HK Squash Centre,19:00,,19,12/03/2025
Vitality Squash 1,v,X-Alpha 3,HK Squash Centre,19:00,,19,12/03/2025
The Best Group 1,v,[BYE],,,,19,12/03/2025
Hong Kong Cricket Club 5,v,Vitality Squash 1,Hong Kong Cricket Club,19:00,,20,19/03/2025
Hong Kong Football Club 7A,v,Kinetic 1,Hong Kong Football Club,19:00,,20,19/03/2025
The Best Group 1,v,UST,Cornwall Street Squash Centre,19:00,,20,19/03/2025
X-Alpha 3,v,[BYE],,,,20,19/03/2025
The Best Group 1,v,Kinetic 1,Cornwall Street Squash Centre,19:00,,21,26/03/2025
Vitality Squash 1,v,Hong Kong Football Club 7A,HK Squash Centre,19:00,,21,26/03/2025
X-Alpha 3,v,Hong Kong Cricket Club 5,Cornwall Street Squash Centre,19:00,,21,26/03/2025
UST,v,[BYE],,,,21,26/03/2025
