Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,12,12,0,56,44,16,0,0,0,0
Kinetic 3,12,10,2,45,35,25,0,0,0,0
The Squash Club 3,12,7,5,40,33,27,0,0,0,0
Global Squash 2,12,6,6,37,31,29,0,0,0,0
HKCC Tuesday Night Rockers,12,6,6,37,31,29,0,0,0,0
BOSS,11,6,5,36,30,25,0,0,0,0
Tuen Mun Squash Club,12,6,6,35,29,31,0,0,0,0
Star River 1,13,5,8,35,30,35,0,0,0,0
i-Mask Advance Squash Club 4,11,4,7,28,24,31,0,0,0,0
7NT,11,2,9,24,22,33,0,0,0,0
Invader Squash,12,1,11,17,16,44,0,0,0,0
