Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
South China Athletic Association,3,3,0,16,13,2,0,3,0,0
North District Sports Association 1,3,3,0,14,11,4,0,2,0,0
Winter Warriors,3,2,1,13,11,4,3,0,0,0
Alpha CUHK,3,2,1,12,10,5,0,1,0,0
Hong Kong Football Club 12A,3,2,1,11,9,6,0,0,0,0
Sea Bear,3,1,2,10,9,6,0,0,0,0
Star River 2,2,2,0,8,6,4,0,3,0,0
ZOMA,3,1,2,8,7,8,0,0,0,0
CSD Squash Team,3,1,2,4,4,11,4,0,1,0
Hong Kong Racketlon Assoication 2,2,0,2,3,3,7,0,0,0,1
Latecomers,3,0,3,2,2,13,2,0,0,0
Hong Kong Football Club 12B,3,0,3,0,0,15,0,0,0,0
