Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 2,3,3,0,15,12,3,0,1,0,0
Greenfield,3,3,0,14,11,4,0,1,0,0
Squashathon PLZ,3,2,1,11,9,6,0,2,0,0
Royal Hong Kong Yacht Club Div 13,3,2,1,11,9,6,0,0,0,0
TNG 1,3,2,1,10,8,7,0,0,0,0
Bravo D13,3,2,1,10,8,7,1,2,0,0
Arctic Circle,3,1,2,8,7,8,0,0,0,0
North District Sports Association 2,3,1,2,7,6,9,0,0,0,0
Star River 3,3,1,2,7,6,9,0,0,0,0
M&M Squash,3,1,2,6,5,10,0,0,0,0
Physical Chess 4,3,0,3,6,6,9,2,0,0,0
Vitality Squash 3,3,0,3,3,3,12,3,0,0,0
