Team,Most Games,Most Wins,Highest Win Percentage
Boss,"Fong Wai Kuen, Ip Thomas Shun Moon (18)",Ho Wai Ying (13),Ho Wai Ying (81.2%)
HKPF Squash Team,Ko Toby Ho Yin (19),Ko Toby Ho Yin (18),Ko Toby Ho Yin (94.7%)
Hong Kong Football Club 15,"Jones Robert F., Amjad Zain (15)",Jones Robert F. (12),Jones Robert F. (80.0%)
Old Squash Fellows,"So Anthony Fuk Chi, Sih Peter Wai Hang (15)",So Anthony Fuk Chi (11),Poon Sunny Yat Sing (100.0%)
Sergio Tacchini KCC 15,Samtani Rakesh (18),Samtani Rakesh (16),Samtani Rakesh (88.9%)
Tuen Mun Squash Club,Ma Charles Chun Fung (17),Wong Kwok Hee (10),Tsang Patrick Hing Suen (83.3%)
United Services Recreation Club 3,"Yao Tang Fat Elbert, Chu Lap Sun (16)",Yao Tang Fat Elbert (15),Ku Wai Hang William (100.0%)
