Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club M1A,66.66666666666666,66.66666666666666,100.0,77.77777777777777,17
Hong Kong Cricket Club M1A,83.33333333333334,66.66666666666666,50.0,66.66666666666667,16
Hong Kong Football Club M1B,80.0,20.0,50.0,50.0,14
Hong Kong Cricket Club M1B,16.666666666666664,80.0,0.0,32.22222222222222,12
Squashathon M+,0.0,0.0,0.0,0.0,13
