Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Star River 1,18,16,2,84,68,22,0,9,0,0
Royal Hong Kong Yacht Club Div 12,17,13,4,75,62,23,0,0,0,1
Physical Chess 4,17,12,5,70,58,27,0,6,0,2
Sha Tin 5,17,12,5,60,49,36,0,9,0,1
Winter Warriors,17,11,6,59,49,36,1,2,1,0
Global Squash 2,17,9,8,53,44,41,0,0,0,0
Hong Kong Football Club 12A,17,8,9,45,37,48,2,7,0,0
Hong Kong Football Club 12B,17,7,10,39,32,53,0,4,0,2
SKCSC Div 12,18,5,13,39,34,56,0,5,0,0
CSD Squash Team,18,1,17,19,23,67,29,0,5,0
Latecomers,17,2,15,17,19,66,15,5,0,0
