Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
i-Mask Advance Squash Club 5,18,14,4,72,58,32,0,0,0,0
Electrify Squash Div 11,17,13,4,71,58,27,0,0,0,0
GMDBB,17,13,4,67,54,31,0,0,0,0
The Zero Squash Club D11,17,13,4,66,53,32,0,0,0,0
Alpha CUHK,17,13,4,65,53,32,0,2,0,0
7NT,17,12,5,65,53,32,0,1,0,0
Sea Bear,18,6,12,42,36,54,1,0,0,0
South China Athletic Association,17,4,13,34,31,54,2,0,1,0
ZOMA,18,4,14,34,30,60,1,2,0,0
Invader Squash,17,3,14,29,26,59,1,0,0,1
Tuen Mun Squash Club,17,1,16,24,23,62,0,0,0,0
