Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,19,18,1,99,81,14,0,12,0,0
Hong Kong Football Club 6A,19,14,5,76,62,33,0,11,0,0
Uncles,19,13,6,74,61,34,0,2,0,0
Hong Kong Football Club 6B,19,12,7,66,54,41,0,0,0,3
Kowloon Cricket Club 6A,19,11,8,64,53,42,2,3,0,0
Hong Kong Football Club 6C,19,10,9,57,47,48,0,2,0,0
Electrify Squash Div 6,19,9,10,48,42,53,9,4,3,0
Ladies Recreation Club Div 6,19,7,12,47,40,55,7,6,0,0
Global Squash 1,19,5,14,43,38,57,0,2,0,2
Fusion Squash Club 1,19,7,12,37,33,62,25,0,3,0
Hong Kong Cricket Club D6,19,4,15,35,31,64,2,6,0,0
X-Alpha 3,19,4,15,30,28,67,3,0,2,3
