Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,17,17,0,96,79,6,0,6,0,0
RELAY 1,17,13,4,72,59,26,0,2,0,0
Thunder 2,18,13,5,69,56,34,0,1,0,0
Hong Kong Cricket Club D10,17,11,6,61,50,35,1,2,0,0
United Services Recreation Club 3,18,10,8,58,48,42,0,0,0,0
Kwai Tsing District Squash Club,17,8,9,53,45,40,0,1,0,0
Banbil,17,9,8,52,43,42,8,0,0,0
Mercury,17,4,13,28,24,61,1,0,0,0
i-Mask Advance Squash Club 4,17,3,14,28,25,60,3,0,0,0
Squashathon Advance,17,4,13,26,22,63,1,0,0,0
Bravo D10,16,2,14,20,19,61,1,3,0,0
