Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,17,15,2,77,62,23,0,7,0,0
Hong Kong Football Club 7B,17,12,5,71,59,26,0,1,0,0
i-Mask Advance Squash Club 1,18,11,7,63,52,38,1,1,0,0
Hong Kong Football Club 7A,16,11,5,57,46,34,0,1,0,0
UST,17,10,7,51,44,41,1,1,3,0
Hong Kong Cricket Club D7B,17,7,10,48,41,44,0,6,0,0
Hong Kong Cricket Club D7A,17,7,10,46,39,46,1,2,0,4
Thunder 1,17,6,11,42,36,49,0,3,0,0
Xavier,17,6,11,40,34,51,13,0,0,0
Social Squash Team,17,7,10,38,31,54,6,1,0,0
Kinetic 1,18,2,16,27,26,64,2,1,1,0
