Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against
CWB M1,21,6,15,39,M1,2016-2017,6,,
Castlers & Friends,9,3,6,21,11,2019-2020,7,,
Center Squash,21,1,20,15,11B,2018-2019,8,,
Centre Squash,21,6,15,39,13,2022-2023,7,,
Centre Squash,10,8,2,45,13B,2021-2022,2,,
Centre Squash,16,0,16,10,13,2023-2024,9,,
Centre Squash,5,1,4,10,9,2024-2025,8,9.0,16.0
Centre Squash,10,3,7,23,13A,2019-2020,9,,
Citra Squash Team,16,7,9,37,17A,2016-2017,6,,
Citra Squash Team,18,6,11,32,17B,2017-2018,6,,
Clearwater Bay,16,5,11,26,M1,2017-2018,5,,
Craigengower Cricket Club,11,3,8,1,17B,2019-2020,8,,
Craigengower Cricket Club,21,9,12,58,14,2023-2024,6,,
Craigengower Cricket Club,3,1,2,6,10,2024-2025,5,5.0,10.0
Craigengower Cricket Club,17,0,17,-7,14,2017-2018,11,,
Craigengower Cricket Club,22,6,16,35,16,2018-2019,10,,
Craigengower Cricket Club,20,1,19,13,14,2022-2023,6,,
Craigengower Cricket Club,12,3,9,16,16,2021-2022,10,,
Craigergower Cricket Club,20,13,7,76,16B,2016-2017,2,,
DG Audio,21,1,20,25,9,2016-2017,8,,
DR. SQUASH 1,15,8,7,29,12A,2017-2018,7,,
DS,20,4,16,30,14,2016-2017,9,,
DS,9,2,7,12,14,2019-2020,6,,
DS,16,1,15,14,14,2018-2019,9,,
DS,18,4,14,25,14,2017-2018,10,,
Diocesan,21,0,21,4,19A,2018-2019,8,,
Diocesan,8,1,7,6,19A,2019-2020,7,,
Discovery Bay,21,9,12,45,6,2017-2018,6,,
Discovery Bay,11,5,6,32,M3,2019-2020,8,,
Discovery Bay,20,5,15,18,8,2018-2019,10,,
Discovery Bay,20,5,15,29,5,2016-2017,6,,
Discovery Bay Masters,21,7,14,24,M1,2016-2017,7,,
Discovery Bay Masters,18,3,15,23,M2,2018-2019,7,,
Discovery Bay Masters 2,18,5,13,41,M2,2017-2018,6,,
Dr. Squash 2,18,6,12,37,17A,2017-2018,8,,
Dr. Squash 3,18,6,12,32,17B,2017-2018,7,,
Dr. Squash 4,19,1,18,9,19,2017-2018,11,,
Dr. Squash 5,22,1,21,-18,19,2017-2018,12,,
Dragonfly,16,13,3,64,17A,2016-2017,3,,
Dragonfly,18,16,2,92,17B,2017-2018,1,,
Dragonfly,21,12,9,75,17A,2018-2019,3,,
Dynamos Squash,3,3,0,17,8B,2024-2025,1,14.0,1.0
EdUHK,10,0,10,3,12A,2021-2022,9,,
EdUHK,18,1,17,6,12A,2022-2023,10,,
EdUHK,9,4,5,27,12A,2019-2020,5,,
Electrifing Squash,18,8,10,43,19,2022-2023,5,,
Electrify Squash Div 13,3,3,0,17,13B,2024-2025,1,14.0,1.0
Electrify Squash Div 14,4,3,1,16,14,2024-2025,2,13.0,7.0
Electrify Squash Div 15,4,4,0,20,15B,2024-2025,1,16.0,4.0
Electrify Squash Div 18,22,22,0,110,18,2023-2024,1,,
Electrify Squash Div 19,22,18,4,95,19,2023-2024,1,,
Electrify Squash Div 5,16,4,12,29,5,2023-2024,8,,
Electrify Squash Ladies,3,0,3,1,L4,2024-2025,6,1.0,8.0
Elite Team,22,4,18,3,18,2023-2024,12,,
Energetic,18,15,3,81,5,2022-2023,2,,
Energetic,11,3,8,16,5,2021-2022,6,,
Energy Squash 1,9,2,7,13,17A,2021-2022,7,,
Energy Squash 2,11,0,11,3,17B,2021-2022,8,,
Energy Squash Club 1,3,2,1,10,13B,2024-2025,5,8.0,7.0
Energy Squash Club 2,3,1,2,7,13B,2024-2025,9,6.0,9.0
Everlast 1,21,11,10,69,7B,2016-2017,3,,
Everlast 2,16,7,9,28,17B,2016-2017,8,,
Everlast 3,17,9,8,52,19,2016-2017,4,,
Exclamation,22,21,1,111,16,2018-2019,1,,
FC 3,16,16,0,78,10,2023-2024,1,,
FWD,9,0,9,4,1,2021-2022,5,,
FWD,3,1,2,6,Premier Main,2024-2025,4,5.0,4.0
FWD,8,4,4,17,1,2023-2024,2,,
FWD 1,16,6,10,26,1,2022-2023,5,,
FWD-USRC,20,5,15,42,2,2016-2017,5,,
Fa Yuen Street,21,7,14,47,18,2022-2023,6,,
Firebird,22,5,17,17,18,2017-2018,11,,
Flash,22,8,14,54,11,2017-2018,8,,
Flash,22,17,5,94,15,2018-2019,2,,
Flash 1,18,10,8,37,11,2016-2017,9,,
Flash 2,21,2,19,-15,15,2016-2017,12,,
Food Angel,9,5,4,20,1,2019-2020,2,,
Food Angel,16,10,6,39,1,2017-2018,2,,
Food Angel,12,7,5,26,1,2016-2017,1,,
Food Angel,20,8,12,33,1,2018-2019,4,,
Friend Club,5,5,0,26,9,2024-2025,1,21.0,4.0
Friend Club 1,21,7,14,53,3,2016-2017,5,,
Friend Club 1,20,9,11,56,4,2023-2024,3,,
Friend Club 1,9,4,5,26,4,2019-2020,4,,
Friend Club 1,18,3,15,22,3,2017-2018,7,,
