Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against
Hong Kong Cricket Club L2B,20,4,16,18,L2,2023-2024,6,,
Hong Kong Cricket Club L2B,18,15,3,72,L2,2016-2017,1,,
Hong Kong Cricket Club L2B,16,4,12,20,L2,2022-2023,4,,
Hong Kong Cricket Club L2B,9,5,4,19,L2,2021-2022,2,,
Hong Kong Cricket Club L2B,16,7,9,32,L2,2018-2019,4,,
Hong Kong Cricket Club L2B,7,1,5,9,L2,2019-2020,6,,
Hong Kong Cricket Club L2C,7,1,6,8,L2,2019-2020,7,,
Hong Kong Cricket Club L3,12,9,3,46,L3,2016-2017,1,,
Hong Kong Cricket Club L3,11,1,10,9,L3,2019-2020,6,,
Hong Kong Cricket Club L4,2,2,0,7,L4,2024-2025,2,5.0,1.0
Hong Kong Cricket Club M1,21,16,5,71,M1,2016-2017,2,,
Hong Kong Cricket Club M1,16,13,3,65,M1,2017-2018,1,,
Hong Kong Cricket Club M1A,16,2,14,22,M1,2023-2024,5,,
Hong Kong Cricket Club M1A,20,14,6,65,M1,2018-2019,1,,
Hong Kong Cricket Club M1A,10,6,4,29,M1,2019-2020,3,,
Hong Kong Cricket Club M1A,16,6,10,30,M1,2022-2023,4,,
Hong Kong Cricket Club M1A,4,1,3,5,Premier Masters,2024-2025,3,4.0,8.0
Hong Kong Cricket Club M1A,11,2,9,16,M1,2021-2022,5,,
Hong Kong Cricket Club M1B,16,3,13,22,M1,2023-2024,4,,
Hong Kong Cricket Club M1B,11,2,9,19,M1,2019-2020,6,,
Hong Kong Cricket Club M1B,11,4,7,19,M1,2021-2022,4,,
Hong Kong Cricket Club M1B,16,12,4,54,M1,2022-2023,2,,
Hong Kong Cricket Club M1B,2,1,1,3,Premier Masters,2024-2025,5,2.0,4.0
Hong Kong Cricket Club M1B,20,13,7,58,M1,2018-2019,2,,
Hong Kong Cricket Club M2,16,8,8,53,M2,2023-2024,4,,
Hong Kong Cricket Club M2,20,7,13,49,M2,2016-2017,5,,
Hong Kong Cricket Club M2A,5,3,2,12,M2,2024-2025,4,9.0,11.0
Hong Kong Cricket Club M2B,5,2,3,13,M2,2024-2025,3,11.0,9.0
Hong Kong Cricket Club M3,18,12,6,62,M3,2017-2018,3,,
Hong Kong Cricket Club M3,4,2,2,9,M3,2024-2025,6,7.0,13.0
Hong Kong Cricket Club M3,11,7,4,40,M3,2021-2022,3,,
Hong Kong Cricket Club M3,16,10,6,53,M3,2023-2024,4,,
Hong Kong Cricket Club M3,21,5,16,32,M3,2016-2017,8,,
Hong Kong Cricket Club M3,21,15,6,73,M3,2022-2023,3,,
Hong Kong Cricket Club M3,18,10,8,58,M3,2018-2019,3,,
Hong Kong Cricket Club M3,11,7,4,35,M3,2019-2020,6,,
Hong Kong Cricket Club M4,18,8,10,49,M4,2022-2023,5,,
Hong Kong Cricket Club M4,9,4,5,29,M4,2021-2022,6,,
Hong Kong Cricket Club M4,21,11,10,59,M4,2016-2017,5,,
Hong Kong Cricket Club M4,11,7,4,41,M4,2019-2020,4,,
Hong Kong Cricket Club Rockers,10,2,8,17,15A,2021-2022,7,,
Hong Kong Cricket Club Rockers,22,15,7,81,15,2023-2024,4,,
Hong Kong Cricket Club Rockettes,3,1,2,5,L3,2024-2025,4,4.0,5.0
Hong Kong Cricket Club Rockettes,20,15,5,68,L3,2018-2019,2,,
Hong Kong Cricket Club Rockettes,18,14,4,57,L3,2017-2018,3,,
Hong Kong Cricket Club Rockettes,11,10,1,39,L3,2019-2020,1,,
Hong Kong Cricket Club Rockettes,20,17,3,79,L3,2022-2023,1,,
Hong Kong Cricket Club Rockettes,18,11,7,55,L3,2023-2024,4,,
Hong Kong Cricket Club Rockettes,11,10,1,48,L3,2021-2022,1,,
Hong Kong Cricket Club Young Masters,16,12,4,65,M4,2018-2019,3,,
Hong Kong Cricket Club Young Masters,16,11,5,59,M4,2017-2018,5,,
Hong Kong Cricket L1,15,2,13,5,L1,2016-2017,6,,
Hong Kong Fire Service 2,18,10,8,56,15B,2017-2018,4,,
Hong Kong Fire Services 1,16,5,11,32,4,2016-2017,6,,
Hong Kong Fire Services 1,18,0,18,5,4,2017-2018,10,,
Hong Kong Fire Services 2,18,9,9,58,12B,2016-2017,4,,
Hong Kong Football Club 1,8,7,1,25,1,2023-2024,1,,
Hong Kong Football Club 1,16,11,5,38,1,2022-2023,1,,
Hong Kong Football Club 1,16,6,10,23,1,2017-2018,4,,
Hong Kong Football Club 1,8,4,4,17,1,2021-2022,3,,
Hong Kong Football Club 1,8,3,5,13,1,2019-2020,4,,
Hong Kong Football Club 1,20,7,13,29,1,2018-2019,5,,
Hong Kong Football Club 10,9,6,3,33,10,2019-2020,3,,
Hong Kong Football Club 10,10,5,5,29,10,2021-2022,7,,
Hong Kong Football Club 10A,21,18,3,94,10,2016-2017,1,,
Hong Kong Football Club 10A,22,17,5,93,10,2018-2019,3,,
Hong Kong Football Club 10A,16,13,3,72,10,2023-2024,2,,
Hong Kong Football Club 10A,18,7,11,45,10,2017-2018,6,,
Hong Kong Football Club 10A,21,11,10,67,10,2022-2023,3,,
Hong Kong Football Club 10B,21,13,8,83,10,2016-2017,4,,
Hong Kong Football Club 10B,16,5,11,40,10,2023-2024,6,,
Hong Kong Football Club 10B,22,13,9,71,10,2018-2019,5,,
Hong Kong Football Club 10B,18,10,8,58,10,2017-2018,4,,
Hong Kong Football Club 10B,21,10,11,66,10,2022-2023,4,,
Hong Kong Football Club 11,10,3,7,22,11,2021-2022,5,,
Hong Kong Football Club 11,18,10,8,59,11,2023-2024,4,,
Hong Kong Football Club 11,9,2,7,17,11,2019-2020,10,,
Hong Kong Football Club 11,21,13,8,66,11B,2018-2019,4,,
Hong Kong Football Club 11,22,10,12,59,11,2017-2018,7,,
Hong Kong Football Club 11,16,9,7,58,11,2022-2023,2,,
Hong Kong Football Club 11,18,16,2,83,11,2016-2017,2,,
Hong Kong Football Club 12A,5,4,1,20,12,2024-2025,4,16.0,9.0
Hong Kong Football Club 12B,4,0,4,2,12,2024-2025,12,2.0,18.0
Hong Kong Football Club 13,16,10,6,57,13,2023-2024,4,,
Hong Kong Football Club 13,10,6,4,33,13A,2019-2020,4,,
Hong Kong Football Club 13,21,14,7,80,13B,2018-2019,3,,
Hong Kong Football Club 13,18,11,7,63,13,2017-2018,3,,
Hong Kong Football Club 13,21,12,9,73,13,2022-2023,4,,
Hong Kong Football Club 13,20,8,12,55,13,2016-2017,6,,
Hong Kong Football Club 13,10,8,2,40,13B,2021-2022,3,,
Hong Kong Football Club 14,20,8,12,54,14,2016-2017,7,,
Hong Kong Football Club 14A,4,1,3,8,14,2024-2025,7,7.0,13.0
Hong Kong Football Club 14B,4,2,2,14,14,2024-2025,3,12.0,8.0
Hong Kong Football Club 15,9,8,1,46,15B,2021-2022,1,,
Hong Kong Football Club 15,22,14,8,76,15,2023-2024,5,,
Hong Kong Football Club 15,18,6,12,38,15A,2022-2023,7,,
Hong Kong Football Club 16,10,8,2,44,16,2019-2020,2,,
Hong Kong Football Club 16,12,10,2,55,16,2021-2022,2,,
Hong Kong Football Club 16,22,12,10,70,16,2023-2024,6,,
Hong Kong Football Club 16,20,5,15,47,16,2022-2023,9,,
Hong Kong Football Club 16,22,16,6,90,16,2018-2019,5,,
Hong Kong Football Club 16,18,9,9,57,16,2017-2018,5,,
Hong Kong Football Club 18,22,14,8,84,18,2023-2024,3,,
Hong Kong Football Club 18,21,13,8,73,18,2022-2023,4,,
Hong Kong Football Club 18,22,12,10,71,18,2018-2019,7,,
Hong Kong Football Club 18,9,8,1,44,18,2019-2020,1,,
Hong Kong Football Club 19,6,0,6,6,19A,2021-2022,7,,
Hong Kong Football Club 19,22,15,7,86,19,2023-2024,5,,
Hong Kong Football Club 19,21,14,7,87,19,2017-2018,4,,
Hong Kong Football Club 19,21,12,9,77,19A,2018-2019,4,,
Hong Kong Football Club 19,8,4,4,29,19A,2019-2020,3,,
Hong Kong Football Club 1A,3,2,1,7,Premier Main,2024-2025,3,5.0,4.0
Hong Kong Football Club 1B,3,0,3,3,Premier Main,2024-2025,5,3.0,6.0
Hong Kong Football Club 2,16,11,5,65,2,2023-2024,2,,
Hong Kong Football Club 2,16,11,5,58,2,2022-2023,2,,
Hong Kong Football Club 2,10,6,4,36,2,2021-2022,2,,
Hong Kong Football Club 2,15,5,10,36,2,2018-2019,3,,
Hong Kong Football Club 2,6,2,4,14,2,2019-2020,3,,
Hong Kong Football Club 2A,20,10,10,59,2,2016-2017,4,,
Hong Kong Football Club 2A,2,1,1,6,2,2024-2025,4,5.0,3.0
Hong Kong Football Club 2A,16,10,6,54,2,2017-2018,2,,
Hong Kong Football Club 2B,3,2,1,9,2,2024-2025,2,7.0,5.0
Hong Kong Football Club 2B,16,8,8,42,2,2017-2018,4,,
Hong Kong Football Club 2B,20,17,3,89,2,2016-2017,1,,
Hong Kong Football Club 3,21,19,2,101,3,2016-2017,1,,
Hong Kong Football Club 3A,9,4,5,28,3,2021-2022,3,,
Hong Kong Football Club 3A,18,11,7,65,3,2017-2018,4,,
Hong Kong Football Club 3A,21,14,7,79,3,2018-2019,3,,
Hong Kong Football Club 3A,4,4,0,19,3,2024-2025,1,15.0,5.0
Hong Kong Football Club 3A,16,13,3,71,3,2022-2023,1,,
Hong Kong Football Club 3A,16,7,9,44,3,2023-2024,3,,
Hong Kong Football Club 3A,10,6,4,32,3,2019-2020,3,,
Hong Kong Football Club 3B,21,12,9,71,3,2018-2019,5,,
Hong Kong Football Club 3B,4,0,4,4,3,2024-2025,8,4.0,16.0
Hong Kong Football Club 3B,9,3,6,22,3,2021-2022,4,,
Hong Kong Football Club 3B,16,8,8,47,3,2023-2024,2,,
Hong Kong Football Club 3B,18,12,6,67,3,2017-2018,2,,
Hong Kong Football Club 3B,8,4,4,28,3,2019-2020,5,,
Hong Kong Football Club 3B,16,9,7,49,3,2022-2023,3,,
Hong Kong Football Club 4,9,7,2,38,4,2019-2020,1,,
Hong Kong Football Club 4,20,11,9,66,4,2018-2019,4,,
Hong Kong Football Club 4,16,16,0,90,4,2016-2017,1,,
Hong Kong Football Club 4,18,10,8,53,4,2017-2018,5,,
Hong Kong Football Club 4A,4,3,1,18,4,2024-2025,2,15.0,5.0
Hong Kong Football Club 4A,20,5,15,37,4,2023-2024,5,,
Hong Kong Football Club 4A,21,12,9,73,4,2022-2023,4,,
Hong Kong Football Club 4A,10,8,2,44,4,2021-2022,3,,
Hong Kong Football Club 4B,20,3,17,29,4,2023-2024,6,,
Hong Kong Football Club 4B,4,2,2,11,4,2024-2025,5,9.0,11.0
Hong Kong Football Club 4B,11,3,8,25,4,2021-2022,7,,
Hong Kong Football Club 4B,21,6,15,44,4,2022-2023,6,,
Hong Kong Football Club 5,16,8,8,48,5,2018-2019,6,,
Hong Kong Football Club 5,18,10,8,53,5,2022-2023,6,,
Hong Kong Football Club 5,11,8,3,44,5,2021-2022,2,,
Hong Kong Football Club 5,16,13,3,76,5,2023-2024,1,,
Hong Kong Football Club 5,9,6,3,35,5,2019-2020,2,,
Hong Kong Football Club 5,21,14,7,84,5,2016-2017,2,,
Hong Kong Football Club 5,16,10,6,56,5,2017-2018,3,,
Hong Kong Football Club 5A,3,3,0,15,5,2024-2025,1,12.0,3.0
Hong Kong Football Club 5B,3,0,3,5,5,2024-2025,9,5.0,10.0
Hong Kong Football Club 6,21,19,2,102,6,2017-2018,1,,
Hong Kong Football Club 6A,4,1,3,9,6,2024-2025,6,8.0,12.0
Hong Kong Football Club 6A,9,8,1,43,6,2019-2020,2,,
Hong Kong Football Club 6A,18,14,4,80,6,2018-2019,1,,
Hong Kong Football Club 6A,11,7,4,38,6,2021-2022,3,,
Hong Kong Football Club 6A,20,15,5,78,6,2016-2017,3,,
Hong Kong Football Club 6B,18,12,6,64,6,2018-2019,3,,
Hong Kong Football Club 6B,20,14,6,72,6,2016-2017,4,,
Hong Kong Football Club 6B,11,5,6,33,6,2021-2022,4,,
Hong Kong Football Club 6B,4,2,2,11,6,2024-2025,5,9.0,11.0
Hong Kong Football Club 6B,9,8,1,43,6,2019-2020,3,,
Hong Kong Football Club 6C,4,0,4,4,6,2024-2025,10,4.0,16.0
Hong Kong Football Club 7,21,19,2,102,7B,2016-2017,1,,
Hong Kong Football Club 7,18,10,8,59,7B,2017-2018,5,,
Hong Kong Football Club 7,22,13,9,77,7,2018-2019,5,,
Hong Kong Football Club 7,10,6,4,38,7,2019-2020,3,,
Hong Kong Football Club 7A,11,5,6,33,7,2021-2022,6,,
Hong Kong Football Club 7A,16,7,9,39,7,2022-2023,7,,
Hong Kong Football Club 7A,22,17,5,96,7,2023-2024,3,,
Hong Kong Football Club 7A,4,4,0,19,7A,2024-2025,1,15.0,5.0
Hong Kong Football Club 7B,11,10,1,52,7,2021-2022,2,,
Hong Kong Football Club 7B,16,13,3,71,7,2022-2023,3,,
Hong Kong Football Club 7B,5,2,3,16,7B,2024-2025,3,14.0,11.0
Hong Kong Football Club 7B,22,18,4,101,7,2023-2024,2,,
Hong Kong Football Club 8,3,3,0,14,8A,2024-2025,2,11.0,4.0
Hong Kong Football Club 8A,16,14,2,72,8,2017-2018,2,,
Hong Kong Football Club 8A,16,12,4,63,8,2023-2024,1,,
Hong Kong Football Club 8A,9,9,0,45,8,2019-2020,1,,
Hong Kong Football Club 8A,18,8,10,57,8,2022-2023,5,,
Hong Kong Football Club 8A,12,5,7,33,8,2021-2022,5,,
Hong Kong Football Club 8A,20,6,14,46,8A,2016-2017,4,,
Hong Kong Football Club 8A,20,18,2,98,8,2018-2019,2,,
Hong Kong Football Club 8B,12,5,7,29,8,2021-2022,6,,
Hong Kong Football Club 8B,10,4,6,31,8,2019-2020,4,,
Hong Kong Football Club 8B,20,5,15,53,8,2018-2019,7,,
Hong Kong Football Club 8B,18,16,2,80,8B,2016-2017,2,,
Hong Kong Football Club 8B,16,3,13,23,8,2023-2024,9,,
Hong Kong Football Club 8B,16,15,1,80,8,2017-2018,1,,
Hong Kong Football Club 8B,18,8,10,48,8,2022-2023,7,,
Hong Kong Football Club 8C,20,13,7,71,8,2018-2019,5,,
Hong Kong Football Club 9,4,2,2,10,9,2024-2025,7,8.0,12.0
Hong Kong Football Club 9,20,16,4,98,9,2017-2018,2,,
Hong Kong Football Club 9,21,9,12,63,9,2016-2017,4,,
Hong Kong Football Club 9A,8,7,1,35,9,2019-2020,1,,
Hong Kong Football Club 9B,8,4,4,25,9,2019-2020,4,,
Hong Kong Football Club JSA,2,2,0,7,L4,2024-2025,3,5.0,1.0
Hong Kong Football Club L1,16,12,4,48,L1,2017-2018,1,,
Hong Kong Football Club L1,2,1,1,3,Premier Ladies,2024-2025,4,2.0,4.0
Hong Kong Football Club L1,15,2,13,12,L1,2016-2017,5,,
Hong Kong Football Club L1,8,5,3,16,L1,2019-2020,4,,
Hong Kong Football Club L1,16,12,4,46,L1,2018-2019,1,,
Hong Kong Football Club L1A,11,11,0,40,L1,2021-2022,1,,
Hong Kong Football Club L1A,10,9,1,34,L1,2023-2024,1,,
Hong Kong Football Club L1A,20,18,2,65,L1,2022-2023,1,,
Hong Kong Football Club L1B,10,2,8,9,L1,2021-2022,5,,
Hong Kong Football Club L1B,20,4,16,24,L1,2022-2023,5,,
Hong Kong Football Club L1B,10,0,10,-2,L1,2023-2024,6,,
Hong Kong Football Club L2A,18,11,7,49,L2,2016-2017,3,,
Hong Kong Football Club L2A,4,1,3,10,L2,2024-2025,4,9.0,7.0
Hong Kong Football Club L2A,9,7,2,29,L2,2021-2022,1,,
Hong Kong Football Club L2A,20,19,1,84,L2,2023-2024,1,,
Hong Kong Football Club L2A,15,5,10,26,L2,2017-2018,4,,
Hong Kong Football Club L2A,16,7,9,36,L2,2018-2019,3,,
Hong Kong Football Club L2A,16,14,2,50,L2,2022-2023,1,,
Hong Kong Football Club L2A,7,3,4,16,L2,2019-2020,4,,
Hong Kong Football Club L2B,18,5,13,30,L2,2016-2017,6,,
Hong Kong Football Club L2B,16,12,4,55,L2,2018-2019,1,,
Hong Kong Football Club L2B,16,5,11,24,L2,2022-2023,3,,
Hong Kong Football Club L2B,4,3,1,13,L2,2024-2025,3,10.0,6.0
Hong Kong Football Club L2B,15,7,8,31,L2,2017-2018,3,,
Hong Kong Football Club L2B,20,3,17,26,L2,2023-2024,5,,
Hong Kong Football Club L2B,8,6,2,31,L2,2019-2020,2,,
Hong Kong Football Club L2B,9,3,6,13,L2,2021-2022,4,,
Hong Kong Football Club L2C,8,3,5,10,L2,2021-2022,5,,
Hong Kong Football Club L2C,16,3,13,21,L2,2018-2019,5,,
Hong Kong Football Club L2C,7,3,4,17,L2,2019-2020,3,,
Hong Kong Football Club L2C,16,5,11,19,L2,2022-2023,5,,
Hong Kong Football Club L2C,20,7,13,33,L2,2023-2024,4,,
Hong Kong Football Club L2C,18,8,10,38,L2,2016-2017,5,,
Hong Kong Football Club L2C,15,2,13,16,L2,2017-2018,6,,
Hong Kong Football Club L2C,4,0,4,2,L2,2024-2025,6,2.0,14.0
Hong Kong Football Club L3A,18,5,13,28,L3,2017-2018,6,,
Hong Kong Football Club L3A,20,5,15,28,L3,2018-2019,5,,
Hong Kong Football Club L3A,3,2,1,7,L3,2024-2025,2,5.0,4.0
Hong Kong Football Club L3A,11,8,3,41,L3,2021-2022,2,,
Hong Kong Football Club L3A,20,13,7,57,L3,2022-2023,2,,
Hong Kong Football Club L3A,11,7,4,36,L3,2019-2020,2,,
Hong Kong Football Club L3A,18,13,5,61,L3,2023-2024,2,,
Hong Kong Football Club L3A,12,5,7,34,L3,2016-2017,2,,
Hong Kong Football Club L3B,20,10,10,45,L3,2018-2019,4,,
Hong Kong Football Club L3B,3,2,1,7,L3,2024-2025,3,5.0,4.0
Hong Kong Football Club L3B,20,11,9,56,L3,2022-2023,3,,
Hong Kong Football Club L3B,11,4,7,20,L3,2019-2020,5,,
Hong Kong Football Club L3B,11,4,7,23,L3,2021-2022,4,,
Hong Kong Football Club L3B,12,2,10,23,L3,2016-2017,4,,
Hong Kong Football Club L3B,18,14,4,65,L3,2023-2024,1,,
Hong Kong Football Club L3B,18,13,5,64,L3,2017-2018,1,,
Hong Kong Football Club L3C,3,2,1,8,L3,2024-2025,1,6.0,3.0
Hong Kong Football Club L3C,18,6,12,39,L3,2023-2024,5,,
Hong Kong Football Club L3C,20,4,16,27,L3,2018-2019,6,,
Hong Kong Football Club L3C,18,4,14,24,L3,2017-2018,7,,
Hong Kong Football Club L3C,20,8,12,44,L3,2022-2023,4,,
Hong Kong Football Club L3C,11,2,9,9,L3,2021-2022,6,,
Hong Kong Football Club L4,3,1,2,5,L4,2024-2025,4,4.0,5.0
Hong Kong Football Club M1A,16,7,9,36,M1,2017-2018,3,,
Hong Kong Football Club M1A,11,4,7,20,M1,2019-2020,4,,
Hong Kong Football Club M1A,16,7,9,42,M1,2022-2023,3,,
Hong Kong Football Club M1A,21,12,9,50,M1,2016-2017,4,,
Hong Kong Football Club M1A,11,8,3,38,M1,2021-2022,2,,
Hong Kong Football Club M1A,20,5,15,38,M1,2018-2019,5,,
Hong Kong Football Club M1A,16,12,4,55,M1,2023-2024,2,,
Hong Kong Football Club M1A,3,2,1,6,Premier Masters,2024-2025,2,4.0,5.0
Hong Kong Football Club M1B,21,4,17,21,M1,2016-2017,8,,
Hong Kong Football Club M1B,16,5,11,27,M1,2017-2018,4,,
Hong Kong Football Club M1B,11,7,4,35,M1,2019-2020,2,,
Hong Kong Football Club M1B,11,8,3,35,M1,2021-2022,3,,
Hong Kong Football Club M1B,16,2,14,19,M1,2022-2023,5,,
Hong Kong Football Club M1B,16,14,2,58,M1,2023-2024,1,,
Hong Kong Football Club M1B,3,2,1,9,Premier Masters,2024-2025,1,7.0,2.0
Hong Kong Football Club M1B,20,7,13,35,M1,2018-2019,6,,
Hong Kong Football Club M2A,20,16,4,88,M2,2016-2017,2,,
Hong Kong Football Club M2A,18,12,6,62,M2,2018-2019,3,,
Hong Kong Football Club M2A,18,10,8,63,M2,2017-2018,3,,
Hong Kong Football Club M2A,5,4,1,17,M2,2024-2025,2,13.0,7.0
Hong Kong Football Club M2A,16,13,3,65,M2,2023-2024,2,,
Hong Kong Football Club M2B,18,14,4,73,M2,2017-2018,2,,
Hong Kong Football Club M2B,5,4,1,18,M2,2024-2025,1,14.0,6.0
Hong Kong Football Club M2B,16,7,9,43,M2,2023-2024,7,,
Hong Kong Football Club M2B,20,7,13,53,M2,2016-2017,4,,
Hong Kong Football Club M2B,18,16,2,86,M2,2018-2019,1,,
Hong Kong Football Club M2C,16,15,1,75,M2,2023-2024,1,,
Hong Kong Football Club M3A,16,12,4,64,M3,2023-2024,3,,
Hong Kong Football Club M3A,11,2,9,19,M3,2019-2020,11,,
Hong Kong Football Club M3A,18,6,12,40,M3,2017-2018,6,,
Hong Kong Football Club M3A,21,16,5,94,M3,2022-2023,1,,
Hong Kong Football Club M3A,18,11,7,62,M3,2018-2019,2,,
Hong Kong Football Club M3A,21,13,8,81,M3,2016-2017,3,,
Hong Kong Football Club M3A,5,4,1,19,M3,2024-2025,2,15.0,10.0
Hong Kong Football Club M3A,11,5,6,26,M3,2021-2022,5,,
Hong Kong Football Club M3B,16,4,12,28,M3,2023-2024,8,,
Hong Kong Football Club M3B,18,9,9,54,M3,2017-2018,4,,
Hong Kong Football Club M3B,18,14,4,70,M3,2018-2019,1,,
Hong Kong Football Club M3B,11,6,5,32,M3,2019-2020,7,,
Hong Kong Football Club M3B,10,2,8,20,M3,2021-2022,8,,
Hong Kong Football Club M3B,21,13,8,72,M3,2022-2023,4,,
Hong Kong Football Club M3B,21,6,15,43,M3,2016-2017,6,,
Hong Kong Football Club M3B,4,2,2,14,M3,2024-2025,4,12.0,8.0
Hong Kong Football Club M3C,11,10,1,51,M3,2019-2020,1,,
Hong Kong Football Club M4,18,12,6,66,M4,2022-2023,3,,
Hong Kong Football Club M4,16,3,13,24,M4,2018-2019,8,,
Hong Kong Football Club M4,15,4,11,29,M4,2017-2018,6,,
Hong Kong Football Club M4,11,2,9,16,M4,2019-2020,7,,
Hong Kong Football Club M4,21,3,18,28,M4,2016-2017,7,,
Hong Kong Football Club M4A,4,2,2,13,M4,2024-2025,6,11.0,9.0
Hong Kong Football Club M4A,9,4,5,28,M4,2021-2022,7,,
Hong Kong Football Club M4B,5,3,2,15,M4,2024-2025,4,12.0,13.0
Hong Kong Football Club M4B,8,0,8,9,M4,2021-2022,11,,
Hong Kong International School D19,22,15,7,87,19,2023-2024,4,,
Hong Kong Racketlon Association,10,8,2,44,16,2019-2020,3,,
Hong Kong Racketlon Association 1,12,4,8,33,13A,2021-2022,6,,
Hong Kong Racketlon Association 1,16,1,15,18,7,2022-2023,9,,
Hong Kong Racketlon Association 1,3,2,1,9,5,2024-2025,5,7.0,8.0
Hong Kong Racketlon Association 1,22,3,19,25,7,2023-2024,12,,
Hong Kong Racketlon Association 2,12,10,2,52,16,2021-2022,3,,
Hong Kong Racketlon Association 2,21,1,20,12,14,2023-2024,8,,
Hong Kong Racketlon Association 2,20,7,13,39,14,2022-2023,5,,
Hong Kong Racketlon Assoication 2,5,1,4,11,12,2024-2025,8,10.0,15.0
Hong Kong Racquets Club,16,4,12,29,14,2018-2019,7,,
Hong Kong Racquets Club,10,6,4,33,14,2019-2020,2,,
Howard's Folly Wine LRC Div 5,18,0,18,1,5,2022-2023,10,,
Howard's Folly Wine LRC Master 1,16,13,3,55,M1,2022-2023,1,,
Howard's Folly Wine LRC Master 3,21,9,12,60,M3,2022-2023,6,,
Howards Folly Wine LRC Div 5,9,4,5,30,5,2019-2020,4,,
Howards Folly Wine LRC Div 6,11,2,9,20,6,2021-2022,5,,
Howards Folly Wine LRC M3,11,9,2,47,M3,2019-2020,2,,
Howards Folly Wine LRC Master 1,11,10,1,45,M1,2021-2022,1,,
Howards Folly Wine LRC Master 3,11,10,1,51,M3,2021-2022,1,,
Humphrey Squash,18,8,10,56,17B,2023-2024,5,,
ISRC United 2,18,1,17,22,10,2017-2018,10,,
Invader Squash,20,14,6,84,14,2016-2017,4,,
Invader Squash,9,8,1,40,15B,2021-2022,2,,
Invader Squash,21,12,9,77,15A,2017-2018,3,,
Invader Squash,18,12,6,67,15B,2022-2023,2,,
Invader Squash,4,1,3,8,11,2024-2025,8,7.0,13.0
Invader Squash,10,5,5,31,15,2019-2020,6,,
Invader Squash,22,18,4,89,15,2018-2019,3,,
Invader Squash,22,2,20,34,15,2023-2024,12,,
Island Squash Racket Club,9,4,5,25,13A,2019-2020,6,,
Island Squash Racket Club - United 2,21,12,9,72,13A,2018-2019,4,,
Island Squash Racquet Club,20,11,9,55,6,2016-2017,7,,
Island Squash Racquet Club,20,4,16,9,6,2017-2018,8,,
JAMS,22,9,13,55,18,2017-2018,8,,
JAVA,18,4,14,27,12B,2023-2024,6,,
JAWS Master,18,4,14,34,M3,2017-2018,7,,
JESSICA L1,3,3,0,11,Premier Ladies,2024-2025,1,8.0,1.0
JESSICA L2,4,2,2,14,L2,2024-2025,2,12.0,4.0
JESSICA L3,3,1,2,5,L3,2024-2025,5,4.0,5.0
JESSICA L4,3,3,0,12,L4,2024-2025,1,9.0,0.0
JESSICA Smashin' Mochi,3,1,2,4,L4,2024-2025,5,3.0,6.0
JESSICA Smashin' Mochi,18,13,5,55,L3,2023-2024,3,,
Jaws Master,11,5,6,33,M3,2021-2022,4,,
Jaws Master,21,16,5,90,M4,2016-2017,2,,
Jaws Master,11,4,7,29,M3,2019-2020,9,,
Jaws Master,18,10,8,54,M3,2018-2019,4,,
Jaws Master,21,11,10,70,M3,2022-2023,5,,
Jessica,10,5,5,20,L1,2023-2024,4,,
KTSC,18,8,10,54,13,2017-2018,6,,
KTSC,21,16,5,90,13A,2018-2019,2,,
KTSC,9,5,4,28,11,2019-2020,5,,
KTSC,20,5,15,41,13,2016-2017,9,,
KTSC,10,2,8,21,11,2021-2022,6,,
KWTDSC 1,22,14,8,85,15,2016-2017,4,,
KWTDSC 2,18,16,2,88,16A,2016-2017,1,,
KWTDSC 3,16,7,9,46,17B,2016-2017,5,,
KWTDSC 4,18,15,3,79,18B,2016-2017,1,,
KYS 1,11,4,7,29,17B,2019-2020,6,,
KYS 1,16,14,2,76,17A,2016-2017,1,,
KYS 1,21,5,16,45,12B,2017-2018,6,,
KYS 1,22,15,7,82,18,2018-2019,5,,
KYS 2,22,8,14,49,19,2017-2018,7,,
KYS 2,9,2,7,10,19A,2019-2020,6,,
KYS 2,18,10,8,52,18A,2016-2017,4,,
KYS 2,21,7,14,47,19A,2018-2019,6,,
Kinetic 1,10,1,9,9,12B,2021-2022,8,,
Kinetic 1,16,2,14,19,5,2017-2018,8,,
Kinetic 1,20,2,18,21,5,2016-2017,7,,
Kinetic 1,21,5,16,42,12A,2023-2024,6,,
Kinetic 1,10,2,8,23,6,2019-2020,7,,
Kinetic 1,18,8,10,54,12A,2022-2023,6,,
Kinetic 1,16,2,14,19,5,2018-2019,8,,
Kinetic 1,4,0,4,7,7A,2024-2025,7,7.0,13.0
Kinetic 2,11,6,5,37,12B,2019-2020,4,,
Kinetic 2,2,0,2,0,8A,2024-2025,9,0.0,10.0
Kinetic 2,11,5,6,36,13B,2021-2022,4,,
Kinetic 2,18,15,3,80,7A,2017-2018,2,,
Kinetic 2,18,6,12,35,7A,2016-2017,7,,
Kinetic 2,16,13,3,68,13,2023-2024,2,,
Kinetic 2,18,6,12,41,6,2018-2019,8,,
Kinetic 2,21,12,9,74,13,2022-2023,3,,
Kinetic 3,8,0,8,5,13B,2019-2020,9,,
Kinetic 3,10,5,5,29,15B,2021-2022,3,,
Kinetic 3,18,9,9,60,11,2016-2017,4,,
Kinetic 3,18,7,11,47,12A,2018-2019,5,,
