Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club M1A,West Steven (8),Chiu Ho Fai (7),Chiu Ho Fai (100.0%)
Hong Kong Cricket Club M1B,Salahuddin (9),Salahuddin (4),Salahuddin (44.4%)
Hong Kong Football Club M1A,"Ho Eric Chu Him, Soo Sean Tsung Jie (7)",Soo Sean Tsung Jie (6),Soo Sean Tsung Jie (85.7%)
Hong Kong Football Club M1B,Ward Andrew (9),Ward Andrew (8),Ward Andrew (88.9%)
Squashathon M+,Leung Shiu Moon (9),Lam Yan Kiu (2),Lam Yan Kiu (33.3%)
