Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Tin Charlotte Pui Lam (12),Tin Charlotte Pui Lam (11),Tin Charlotte Pui Lam (91.7%)
Fusion Squash Club 4,"Liu Riley, Wang Philbert (9)","Mei Tianle Arthur, Li Asher, Cheung Cheuk Yin Nathan (1)",Cheung Cheuk Yin Nathan (20.0%)
Hong Kong Football Club 14,Wan Damien (12),"Wan Damien, Han Julian O (7)",Soo Ting He Nico (100.0%)
Ladies Recreation Club Div 14,Chen Peak Julian (12),Chen Peak Julian (6),Chen Peak Julian (50.0%)
North District Sports Association 2,Fung Yau On (12),Fung Yau On (9),Lee Man Lok Raymond (100.0%)
Physical Chess 5,Chan Chun Ho (8),Tin Nok Lam (7),Tin Nok Lam (100.0%)
RELAY 2,"Cheng Nic, Cheung Cheuk Wai (9)","Cheng Tsz Long, Chung Yui On Jake, Cheung Cheuk Wai (6)",Cheng Tsz Long (85.7%)
Royal Hong Kong Yacht Club Div 14,Lai Ming Wah (11),Oei Chuen Shek Joseph (8),Ho Wai Keung (100.0%)
Squash-On,Lau Hayden (12),"Huang Xin Min, Lau Hayden (4)",Huang Xin Min (66.7%)
TKO Junior 1,"Jong Kwok Wai, Lee Man Yu (10)",Jong Kwok Wai (9),Jong Kwok Wai (90.0%)
TNG 3,Ho Yiu Hei (9),"Kwan Yui Tang, Ho Yiu Hei (5)",Chiu Yuet Yi (80.0%)
The Squash Club 4,Chung Tsam Yee (12),Chung Tsam Yee (12),"Chung Tsam Yee, Ngan Joan (100.0%)"
