Team,Most Games,Most Wins,Highest Win Percentage
Bolton,Wright Martin (11),Wright Martin (5),Li Wilson Wai Shun (80.0%)
Hong Kong Club Blue,"Brien Peter Wilhelm Hubert, McLennan Justin (8)",McLennan Justin (3),McLennan Justin (37.5%)
Hong Kong Cricket Club M4,Poole-Wilson Michael (12),Poole-Wilson Michael (8),"Poole-Wilson Michael, Bradbury Adrian (66.7%)"
Hong Kong Football Club M4A,"Ford Anthony, Otero Somoza Juan Angel, Chan Christine Yik Tat, Murray David (9)",Chan Christine Yik Tat (8),Chan Christine Yik Tat (88.9%)
Hong Kong Football Club M4B,"Dansanghani Rahul, Ho Kwan Lun (9)",Dansanghani Rahul (7),Hathiramani Sahil Ajit (80.0%)
Kowloon Cricket Club M4,Tsang Wai Kit Paul (11),Choy Yuk Kwong Donnie (9),Choy Yuk Kwong Donnie (90.0%)
Royal Hong Kong Yacht Club M4,Leung Chi Wang Christopher (9),"Leung Chi Wang Christopher, Tse Ray, Adams David, Oei Chuen Shek Joseph, Ho Wai Keung (2)",Ho Wai Keung (40.0%)
SKCSC M4,Mong Hoi Ching Norman (13),Mong Hoi Ching Norman (11),Kan Ken Chun Kit (100.0%)
United Services Recreation Club M4,Yu Chi Keung (13),"Wong Hin Chor, Lai Kwok Wai Wilfred, Yam Ken Luen Kai, Chu Lap Sun (5)",Wong Hin Chor (100.0%)
WAKO,Yiu Sai Ngoi (12),Mok Sui Kei (10),"Mok Sui Kei, Gaffney Noel Patrick (100.0%)"
