Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Physical Chess 1,Squashathon,Cornwall Street Squash Centre,1,03/10/2025,3-2,"['3-1', '3-1', '3-2', '2-3', '2-3']",3,2,13,10,Physical Chess 1,Physical Chess 1,Physical Chess 1,Squashathon,Squashathon
Sha Tin 2,Happy Squash 2,Cornwall Street Squash Centre,1,03/10/2025,2-3,"['0-3', '1-3', '3-0', '3-0', '0-3']",2,3,7,9,Happy Squash 2,Happy Squash 2,Sha Tin 2,Sha Tin 2,Happy Squash 2
