Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Electrify Squash Div 13,17,17,0,92,75,10
Sha Tin 6,17,13,4,69,56,29
Fusion Squash Club 2,17,11,6,54,43,42
SocGen Squash,17,7,10,51,44,41
Yuen Long District Sports Association Limited,17,7,10,48,41,44
X-Alpha 5,17,8,9,47,44,41
Kinetic 4,17,7,10,44,39,46
Energy Squash Club 1,17,6,11,43,38,47
Energy Squash Club 2,17,8,9,41,39,46
Happy Squash 4,17,7,10,41,34,51
i-Mask Advance Squash Club 5,17,6,11,35,29,56
HKIS Div 13,17,5,12,32,28,57
