Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M2B,17,15,2,64,49,19
Hong Kong Football Club M2A,17,14,3,62,48,20
Hong Kong Cricket Club M2B,17,7,10,39,32,36
Hong Kong Cricket Club M2A,16,7,9,35,28,36
Ladies Recreation Club M2A,16,5,11,33,28,36
Ladies Recreation Club M2B,17,2,15,14,15,53
