Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
United Services Recreation Club M4,16,12,4,67,55,25
SKCSC,16,12,4,64,52,28
Hong Kong Football Club M4A,16,11,5,63,52,28
Hong Kong Football Club M4B,16,8,8,52,44,36
WAKO,16,7,9,44,37,43
Royal Hong Kong Yacht Club M4,17,7,10,42,35,50
Bolton,17,5,12,30,25,60
Hong Kong Club Blue,16,3,13,27,25,55
