Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
North District Sports Association 1,17,16,1,80,64,21
Alpha CUHK,17,12,5,72,60,25
South China Athletic Association,16,13,3,69,56,24
Winter Warriors,16,11,5,66,55,25
Sea Bear,17,11,6,65,54,31
Hong Kong Football Club 12A,17,12,5,61,49,36
Star River 2,17,6,11,41,35,50
Hong Kong Football Club 12B,17,6,11,38,33,52
ZOMA,16,5,11,37,32,48
Hong Kong Racketlon Assoication 2,17,5,12,32,28,57
CSD Squash Team,16,2,14,19,18,62
Latecomers,17,1,16,13,16,69
