Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L2,17,16,1,70,54,14
Hong Kong Football Club L2B,17,14,3,61,47,21
JESSICA L2,17,9,8,54,45,23
Hong Kong Football Club L2A,17,5,12,35,30,38
Hong Kong Cricket Club L2,17,3,14,17,14,54
Hong Kong Football Club L2C,17,4,13,16,14,54
