Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,16,16,0,86,70,10,1,3,0,5
Sha Tin 6,16,13,3,68,55,25,4,9,0,1
SocGen Squash,16,7,9,49,42,38,9,4,0,0
Fusion Squash Club 2,16,10,6,48,38,42,16,0,0,0
Yuen Long District Sports Association Limited,16,7,9,48,41,39,0,27,0,0
X-Alpha 5,16,7,9,42,40,40,0,17,5,0
Kinetic 4,16,7,9,42,37,43,3,14,0,0
Energy Squash Club 2,16,8,8,41,37,43,19,5,0,0
Energy Squash Club 1,16,5,11,39,35,45,8,10,1,0
Happy Squash 4,16,6,10,37,31,49,0,12,0,1
HKIS Div 13,16,5,11,32,28,52,26,8,1,0
i-Mask Advance Squash Club 5,16,5,11,31,26,54,32,9,0,0
