Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,14,14,0,66,52,18,0,0,0,0
The Squash Club 3,15,10,5,55,45,30,0,0,0,0
Kinetic 3,14,10,4,49,39,31,0,0,0,0
BOSS,14,8,6,46,38,32,0,0,0,0
Tuen Mun Squash Club,15,8,7,45,37,38,0,0,0,0
Star River 1,16,7,9,45,38,42,0,0,0,0
Global Squash 2,15,6,9,43,37,38,0,0,0,0
HKCC Tuesday Night Rockers,14,7,7,42,35,35,0,0,0,0
i-Mask Advance Squash Club 4,14,5,9,35,30,40,0,0,0,0
7NT,14,2,12,28,26,44,0,0,0,0
Invader Squash,15,3,12,26,23,52,0,0,0,0
