Team Name,Home,Average Home Score,Average Away Score,Difference
Hong Kong Football Club 16,Hong Kong Football Club (HKFC),4.5,3.0,1.5
Progressive Squash Club,HK Squash Centre (HKSC),2.0,0.5,1.5
Mass,Cornwall Street (CSPSC),2.2,0.75,1.4500000000000002
CSD,Kwun Chung (KCSC),2.0,0.8,1.2
Airporterz,Kwun Chung (KCSC),3.0,2.0,1.0
Global 2,HK Squash Centre (HKSC),4.333333333333333,3.5,0.833333333333333
Star River 4,Cornwall Street (CSPSC),1.5,0.8,0.7
Latecomers,Kwun Chung (KCSC),1.0,1.25,-0.25
Winter Warriors,HK Squash Centre (HKSC),3.25,3.6666666666666665,-0.4166666666666665
South China Athletic Association,HK Squash Centre (HKSC),3.4,4.0,-0.6000000000000001
Alpha CUHK 2,Chinese University of HK (CUHK),3.0,4.0,-1.0
Hong Kong Racketlon Association,Cornwall Street (CSPSC),2.75,4.0,-1.25
