Team Name,Home,Average Home Score,Average Away Score,Difference
ZOMA,Cornwall Street (CSPSC),4.0,1.0,3.0
HEAD SHATIN 4,Cornwall Street (CSPSC),4.0,1.6666666666666667,2.333333333333333
Kinetic 5,HK Squash Centre (HKSC),2.75,1.8,0.95
HKCC TUESDAY NIGHT ROCKERS,Hong Kong Cricket Club (HKCC),3.8333333333333335,3.25,0.5833333333333335
Greenfield,Cornwall Street (CSPSC),4.0,3.5,0.5
HKFS,Pei Ho Street (PHSSC),1.0,1.0,0.0
Star River 3,Cornwall Street (CSPSC),1.5,1.5,0.0
Invader Squash,Harbour Road (HRSC),2.5,2.6666666666666665,-0.16666666666666652
The Zero Squash Club D15,Cornwall Street (CSPSC),2.0,3.6666666666666665,-1.6666666666666665
7NT,Cornwall Street (CSPSC),1.3333333333333333,,
