Team Name,Home,Average Home Score,Average Away Score,Difference
Twister 1,Cornwall Street (CSPSC),2.0,0.5,1.5
Andy and Friends 1,Cornwall Street (CSPSC),2.5,2.0,0.5
Global 1,Harbour Road (HRSC),2.5,2.1666666666666665,0.3333333333333335
HEAD SHATIN 2,Cornwall Street (CSPSC),3.5,3.5,0.0
Hong Kong Cricket Club 6,Hong Kong Cricket Club (HKCC),3.0,3.0,0.0
Hong Kong Football Club 6A,Hong Kong Football Club (HKFC),4.0,4.0,0.0
Kinetic 1,Cornwall Street (CSPSC),2.0,2.0,0.0
Ricci Hall Old Boys' Association,Cornwall Street (CSPSC),1.0,1.0,0.0
Hong Kong Football Club 6B,Hong Kong Football Club (HKFC),4.0,4.25,-0.25
HKU 1,HK Squash Centre (HKSC),0.4,1.8,-1.4
