Team Name,Home,Average Home Score,Average Away Score,Difference
Hong Kong Football Club 11,Hong Kong Football Club (HKFC),3.0,1.0,2.0
PERRIER SERGIO TACCHINI KCC 7,Kowloon Cricket Club (KCC),3.4285714285714284,2.0,1.4285714285714284
Honey Badger 1,HK Squash Centre (HKSC),4.0,2.6666666666666665,1.3333333333333335
Tuen Mun Squash Club 1,Cornwall Street (CSPSC),3.0,1.7142857142857142,1.2857142857142858
Martinis,HK Squash Centre (HKSC),2.0,1.0,1.0
Physical Chess 2,Cornwall Street (CSPSC),4.0,3.3333333333333335,0.6666666666666665
HKU 2,HK Squash Centre (HKSC),3.0,2.6666666666666665,0.3333333333333335
Castlers & Friends,HK Squash Centre (HKSC),2.25,2.0,0.25
Andy and Friends 2,Cornwall Street (CSPSC),2.4,3.0,-0.6000000000000001
TFST,Cornwall Street (CSPSC),1.0,1.6666666666666667,-0.6666666666666667
KTSC,Cornwall Street (CSPSC),2.3333333333333335,3.25,-0.9166666666666665
