Team Name,Home,Average Home Score,Average Away Score,Difference
HDSC,Kwun Chung (KCSC),1.5714285714285714,0.0,1.5714285714285714
Hong Kong Football Club 18,Hong Kong Football Club (HKFC),4.5,3.0,1.5
i-Mask Advance Squash Club 12,Cornwall Street (CSPSC),2.3333333333333335,1.3333333333333333,1.0000000000000002
TNG 3,Cornwall Street (CSPSC),1.0,0.8,0.19999999999999996
United Services Recreation Club 4,United Services Recreation Club (USRC),3.6,3.5,0.10000000000000009
Smart Squash 4,Cornwall Street (CSPSC),0.25,0.5,-0.25
Skyers,HK Squash Centre (HKSC),3.0,3.2857142857142856,-0.2857142857142856
Yuen Long JR 3,Sir Denys Roberts (SDRSC),3.3333333333333335,3.6666666666666665,-0.33333333333333304
Spark 4,HK Squash Centre (HKSC),3.25,3.6,-0.3500000000000001
HEAD SHATIN 6,Cornwall Street (CSPSC),3.0,3.5,-0.5
Relay 2,Sir Denys Roberts (SDRSC),0.0,0.8333333333333334,-0.8333333333333334
