Team Name,Home,Average Home Score,Average Away Score,Difference
Tuen Mun Squash Club 2,Kwun Chung (KCSC),3.2857142857142856,1.6666666666666667,1.6190476190476188
Centre Squash,HK Squash Centre (HKSC),2.5,1.0,1.5
Kinetic 4,HK Squash Centre (HKSC),2.25,1.5,0.75
Star River 2,Cornwall Street (CSPSC),2.75,2.0,0.75
Sea Bear,Cornwall Street (CSPSC),2.3333333333333335,2.1666666666666665,0.16666666666666696
North District Sport Association 1,Cornwall Street (CSPSC),3.6,3.5,0.10000000000000009
Island Squash Racket Club,HK Squash Centre (HKSC),2.0,2.0,0.0
Banbil,HK Squash Centre (HKSC),1.75,2.0,-0.25
WSC Noset,HK Squash Centre (HKSC),2.75,3.3333333333333335,-0.5833333333333335
Hong Kong Football Club 13,Hong Kong Football Club (HKFC),1.6666666666666667,3.142857142857143,-1.476190476190476
