Home Team,Away Team,Venue,Match Week,Date
The Best Group 1,UST,Cornwall Street Squash Centre,6,2024-11-06
The Best Group 1,X-Alpha 3,Cornwall Street Squash Centre,9,2024-11-27
X-Alpha 3,UST,Cornwall Street Squash Centre,10,2024-12-11
Vitality Squash 1,Kinetic 1,HK Squash Centre,10,2024-12-11
UST,The Best Group 1,Cornwall Street Squash Centre,13,2025-01-15
Kinetic 1,UST,Cornwall Street Squash Centre,15,2025-02-12
X-Alpha 3,The Best Group 1,Cornwall Street Squash Centre,16,2025-02-19
UST,X-Alpha 3,Cornwall Street Squash Centre,17,2025-02-26
Kinetic 1,Vitality Squash 1,HK Squash Centre,17,2025-02-26
The Best Group 1,UST,Cornwall Street Squash Centre,20,2025-03-19
