Team,Most Games,Most Wins,Highest Win Percentage
BOSS, (nan), (nan), (nan%)
Centre Squash, (nan), (nan), (nan%)
HKPF Squash Team,"Ko Toby Ho Yin, Leung Man Wah (5)",Ko Toby Ho Yin (3),Ko Toby Ho Yin (60.0%)
Hong Kong Football Club 9, (nan), (nan), (nan%)
Kinetic 3, (nan), (nan), (nan%)
Kowloon Cricket Club 9,Osmund Ronnie (5),Osmund Ronnie (3),Osmund Ronnie (60.0%)
The Hong Kong Jockey Club Div 9,Lee Dennis Yuk Kai (5),Lee Dennis Yuk Kai (3),Lee Dennis Yuk Kai (60.0%)
The Squash Club 2,Poon Ho Kar James (5),Poon Ho Kar James (5),Poon Ho Kar James (100.0%)
Twister,Wong Ken Tat Tai (5),Wong Ken Tat Tai (2),Wong Ken Tat Tai (40.0%)
i-Mask Advance Squash Club 3, (nan), (nan), (nan%)
