Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club D7A, (nan), (nan), (nan%)
Hong Kong Cricket Club D7B, (nan), (nan), (nan%)
Hong Kong Football Club 7A,Yeung Yurisa (5),Yeung Yurisa (3),Yeung Yurisa (60.0%)
Hong Kong Football Club 7B,Yeung Himmy Cheuk Him (5),Yeung Himmy Cheuk Him (4),Yeung Himmy Cheuk Him (80.0%)
Kinetic 1,Ma Andy  Man Cheung (5),Ma Andy  Man Cheung (1),Ma Andy  Man Cheung (20.0%)
Physical Chess 2, (nan), (nan), (nan%)
Social Squash Team, (nan), (nan), (nan%)
Thunder 1,Wong Hui Sing (5),Wong Hui Sing (4),Wong Hui Sing (80.0%)
UST, (nan), (nan), (nan%)
Xavier, (nan), (nan), (nan%)
i-Mask Advance Squash Club 1, (nan), (nan), (nan%)
