Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
YLJR 3,Squashathon,Yau Oi (YOSC),1,12/10/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Vitality Squash 4,Dragonfly,HK Squash Centre (HKSC),1,12/10/2018,1-4,"['3-0', '0-3', '1-3', '1-3', '2-3']",1,4,7,12
i-Mask Advance Squash Club 12,PLZ,Cornwall Street (CSPSC),1,12/10/2018,5-0,"['3-0', '3-0', '3-0', '3-0', 'WO']",5,0,15,0
Smart Squash 5,Giant 2,Tai Po Sports Ground (TPSG),1,12/10/2018,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Giant 2,Vitality Squash 4,Cornwall Street (CSPSC),2,19/10/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
i-Mask Advance Squash Club 12,Dragonfly,Cornwall Street (CSPSC),2,19/10/2018,4-1,"['2-3', '3-0', '3-1', '3-2', '3-1']",4,1,14,7
Squashathon,PLZ,Kwun Chung (KCSC),2,19/10/2018,2-3,"['3-1', '2-3', '2-3', '3-0', '0-3']",2,3,10,10
YLJR 3,Smart Squash 5,Yau Oi (YOSC),2,19/10/2018,2-3,"['3-2', '1-3', '1-3', '0-3', '3-0']",2,3,8,11
Squashathon,Smart Squash 5,Kwun Chung (KCSC),3,26/10/2018,0-5,"['0-3', '0-3', '1-3', '0-3', '0-3']",0,5,1,15
YLJR 3,Vitality Squash 4,Yuen Long Jockey Club (YLJCSC),3,26/10/2018,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
i-Mask Advance Squash Club 12,Giant 2,Cornwall Street (CSPSC),3,26/10/2018,1-4,"['0-3', '3-1', '1-3', '1-3', '2-3']",1,4,7,13
PLZ,Dragonfly,Cornwall Street (CSPSC),3,26/10/2018,0-4,"['1-3', '1-3', '0-3', '0-3']",0,4,2,12
Vitality Squash 4,Smart Squash 5,HK Squash Centre (HKSC),4,02/11/2018,2-3,"['2-3', '3-0', '3-0', 'WO', 'WO']",2,3,8,9
Giant 2,PLZ,Cornwall Street (CSPSC),4,02/11/2018,5-0,"['3-0', '3-0', '3-0', '3-0', 'WO']",5,0,15,0
Squashathon,Dragonfly,Kwun Chung (KCSC),4,02/11/2018,1-4,"['3-2', '0-3', '0-3', '0-3', '0-3']",1,4,3,14
YLJR 3,i-Mask Advance Squash Club 12,Yau Oi (YOSC),4,02/11/2018,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
i-Mask Advance Squash Club 12,Smart Squash 5,Cornwall Street (CSPSC),5,09/11/2018,5-0,"['3-0', '3-0', '3-1', '3-0', '3-1']",5,0,15,2
Vitality Squash 4,Squashathon,HK Squash Centre (HKSC),5,09/11/2018,1-4,"['1-3', '2-3', '2-3', '3-1', 'WO']",1,4,8,13
YLJR 3,PLZ,Yuen Long Jockey Club (YLJCSC),5,09/11/2018,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
Dragonfly,Giant 2,Wai Tsuen (WTSC),5,09/11/2018,2-3,"['0-3', '0-3', '0-3', '3-0', '3-0']",2,3,6,9
Vitality Squash 4,i-Mask Advance Squash Club 12,HK Squash Centre (HKSC),6,16/11/2018,5-0,"['3-1', '3-0', '3-2', '3-0', 'CR']",5,0,15,3
Giant 2,Squashathon,Cornwall Street (CSPSC),6,16/11/2018,5-0,"['3-0', '3-1', '3-0', '3-0', '3-0']",5,0,15,1
Smart Squash 5,PLZ,Tai Po Sports Ground (TPSG),6,16/11/2018,4-1,"['3-2', '1-3', '3-0', '3-0', '3-0']",4,1,13,5
YLJR 3,Dragonfly,Yau Oi (YOSC),6,16/11/2018,3-2,"['3-0', '3-2', '1-3', '0-3', '3-2']",3,2,10,10
Giant 2,YLJR 3,Cornwall Street (CSPSC),7,30/11/2018,4-1,"['3-0', '1-3', '3-0', '3-2', '3-0']",4,1,13,5
Squashathon,i-Mask Advance Squash Club 12,Kwun Chung (KCSC),7,30/11/2018,2-3,"['0-3', '3-0', '3-0', '0-3', '0-3']",2,3,6,9
PLZ,Vitality Squash 4,Cornwall Street (CSPSC),7,30/11/2018,5-0,"['WO', 'WO', 'WO', 'WO', 'WO']",5,0,15,0
Smart Squash 5,Dragonfly,Tai Po Sports Ground (TPSG),7,30/11/2018,0-5,"['2-3', '1-3', '0-3', '0-3', '0-3']",0,5,3,15
Smart Squash 5,Giant 2,Tai Po Sports Ground (TPSG),8,07/12/2018,2-3,"['1-3', '3-0', '0-3', '1-3', '3-0']",2,3,8,9
Dragonfly,Vitality Squash 4,Wai Tsuen (WTSC),8,07/12/2018,5-0,"['3-2', '3-0', 'WO', 'WO', 'WO']",5,0,15,2
PLZ,i-Mask Advance Squash Club 12,Cornwall Street (CSPSC),8,07/12/2018,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Squashathon,YLJR 3,Kwun Chung (KCSC),8,07/12/2018,1-4,"['3-1', '0-3', '0-3', '0-3', '0-3']",1,4,3,13
Vitality Squash 4,Giant 2,HK Squash Centre (HKSC),9,14/12/2018,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Dragonfly,i-Mask Advance Squash Club 12,Wai Tsuen (WTSC),9,14/12/2018,4-1,"['0-3', '3-1', 'WO', 'WO', 'WO']",4,1,12,4
PLZ,Squashathon,Cornwall Street (CSPSC),9,14/12/2018,1-4,"['0-3', '0-3', '1-3', '0-3', '3-1']",1,4,4,13
Smart Squash 5,YLJR 3,Tai Po Sports Ground (TPSG),9,14/12/2018,3-2,"['3-0', '3-0', '3-0', '0-3', '1-3']",3,2,10,6
PLZ,Dragonfly,Cornwall Street (CSPSC),10,04/01/2019,0-5,"['0-3', '0-3', '0-3', '0-3', 'WO']",0,5,0,15
Vitality Squash 4,YLJR 3,HK Squash Centre (HKSC),10,04/01/2019,2-3,"['0-3', '0-3', '3-0', '0-3', 'CR']",2,3,3,12
Giant 2,i-Mask Advance Squash Club 12,HK Squash Centre (HKSC),10,04/01/2019,5-0,"['3-0', '3-0', '3-0', '3-0', 'WO']",5,0,15,0
Smart Squash 5,Squashathon,Tai Po Sports Ground (TPSG),10,04/01/2019,4-1,"['0-3', '3-0', '3-1', '3-2', '3-1']",4,1,12,7
Smart Squash 5,Vitality Squash 4,Tai Po Sports Ground (TPSG),11,11/01/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
i-Mask Advance Squash Club 12,YLJR 3,Cornwall Street (CSPSC),11,11/01/2019,2-3,"['3-2', '1-3', '3-1', '0-3', 'CR']",2,3,7,12
PLZ,Giant 2,Cornwall Street (CSPSC),11,11/01/2019,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Dragonfly,Squashathon,Wai Tsuen (WTSC),11,11/01/2019,2-3,"['2-3', '1-3', '3-1', '3-0', 'CR']",2,3,9,10
Giant 2,Dragonfly,Cornwall Street (CSPSC),12,18/01/2019,4-1,"['3-0', '3-0', '3-0', '3-0', '2-3']",4,1,14,3
Squashathon,Vitality Squash 4,Kwun Chung (KCSC),12,18/01/2019,4-1,"['0-3', '3-2', 'CR', 'CR', 'CR']",4,1,12,5
Smart Squash 5,i-Mask Advance Squash Club 12,Tai Po Sports Ground (TPSG),12,18/01/2019,2-3,"['3-1', '0-3', '0-3', '0-3', '3-1']",2,3,6,11
PLZ,YLJR 3,Cornwall Street (CSPSC),12,18/01/2019,0-5,"['1-3', '0-3', '0-3', '0-3', '1-3']",0,5,2,15
Squashathon,Giant 2,Kwun Chung (KCSC),13,25/01/2019,0-5,"['1-3', '0-3', '0-3', '0-3', '0-3']",0,5,1,15
Smart Squash 5,PLZ,Tai Po Sports Ground (TPSG),13,25/01/2019,4-1,"['3-1', '1-3', '3-0', '3-0', '3-0']",4,1,13,4
i-Mask Advance Squash Club 12,Vitality Squash 4,Cornwall Street (CSPSC),13,25/01/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-1']",5,0,15,1
Dragonfly,YLJR 3,Wai Tsuen (WTSC),13,25/01/2019,3-2,"['3-1', '2-3', '3-1', '3-1', '1-3']",3,2,12,9
Vitality Squash 4,PLZ,HK Squash Centre (HKSC),14,22/02/2019,5-0,"['3-2', '3-0', '3-0', '3-1', 'WO']",5,0,15,3
Squashathon,i-Mask Advance Squash Club 12,Kwun Chung (KCSC),14,22/02/2019,3-2,"['3-1', '0-3', '2-3', 'WO', 'WO']",3,2,11,7
Dragonfly,Smart Squash 5,Wai Tsuen (WTSC),14,22/02/2019,1-4,"['0-3', '0-3', '3-0', '0-3', '2-3']",1,4,5,12
YLJR 3,Giant 2,Yau Oi (YOSC),14,22/02/2019,1-4,"['1-3', '0-3', '0-3', '0-3', '3-0']",1,4,4,12
Squashathon,YLJR 3,Kwun Chung (KCSC),15,01/03/2019,1-4,"['3-2', '0-3', '0-3', '0-3', '1-3']",1,4,4,14
Dragonfly,Vitality Squash 4,Wai Tsuen (WTSC),15,01/03/2019,5-0,"['WO', 'WO', 'WO', 'WO', 'WO']",5,0,15,0
i-Mask Advance Squash Club 12,PLZ,Cornwall Street (CSPSC),15,01/03/2019,5-0,"['3-0', '3-0', '3-0', '3-0', 'WO']",5,0,15,0
Giant 2,Smart Squash 5,Cornwall Street (CSPSC),15,01/03/2019,3-2,"['3-0', '3-0', '3-0', '2-3', 'CR']",3,2,14,3
i-Mask Advance Squash Club 12,Dragonfly,Cornwall Street (CSPSC),16,08/03/2019,5-0,"['3-0', '3-0', '3-1', '3-0', '3-0']",5,0,15,1
Vitality Squash 4,Giant 2,HK Squash Centre (HKSC),16,08/03/2019,0-5,"['1-3', '0-3', '0-3', 'CR', 'CR']",0,5,1,15
