Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Perrier Sergio Tacchini KCC M4,Bolton,Kowloon Cricket Club (KCC),1,11/10/2018,2-3,"['3-1', '0-3', '0-3', '3-1', '0-3']",2,3,6,11
HK Club Blue,The Hong Kong Jockey Club M4,HK CLUB,1,11/10/2018,0-5,"['0-3', '0-3', '0-3', '1-3', '0-3']",0,5,1,15
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4,Royal Hong Kong Yacht Club (RHKYC),1,11/10/2018,2-3,"['3-0', '3-1', '0-3', '0-3', '0-3']",2,3,6,10
WAKO Masters,Phoenix 1,Masters - Java Road (M - JRSC),1,11/10/2018,3-2,"['2-3', '1-3', '3-1', '3-0', '3-1']",3,2,12,8
Hong Kong Football Club M4,HK Club Blue,Hong Kong Football Club (HKFC),2,18/10/2018,2-3,"['0-3', '0-3', '3-0', '3-0', '0-3']",2,3,6,9
Hong Kong Cricket Club Young Masters,Royal Hong Kong Yacht Club M4,Hong Kong Cricket Club (HKCC),2,18/10/2018,5-0,"['3-0', '3-1', '3-1', '3-2', '3-0']",5,0,15,4
The Hong Kong Jockey Club M4,WAKO Masters,HKJC Sha Tin Club House (HKJC),2,18/10/2018,5-0,"['3-1', '3-1', '3-1', '3-0', '3-0']",5,0,15,3
Phoenix 1,Perrier Sergio Tacchini KCC M4,Masters - HK Squash Centre (M - HKSC),2,18/10/2018,4-1,"['3-1', '3-1', '3-0', '1-3', '3-1']",4,1,13,6
Perrier Sergio Tacchini KCC M4,The Hong Kong Jockey Club M4,Kowloon Cricket Club (KCC),3,25/10/2018,1-4,"['1-3', '2-3', '0-3', '3-0', '0-3']",1,4,6,12
Bolton,Phoenix 1,Masters - HK Squash Centre (M - HKSC),3,25/10/2018,2-3,"['0-3', '3-2', '0-3', '2-3', '3-2']",2,3,8,13
HK Club Blue,Hong Kong Cricket Club Young Masters,HK CLUB,3,25/10/2018,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Hong Kong Football Club M4,WAKO Masters,Hong Kong Football Club (HKFC),3,25/10/2018,2-3,"['3-1', '3-0', '0-3', '1-3', '1-3']",2,3,8,10
Hong Kong Football Club M4,Perrier Sergio Tacchini KCC M4,Hong Kong Football Club (HKFC),4,01/11/2018,1-4,"['2-3', '3-0', '0-3', '1-3', '0-3']",1,4,6,12
WAKO Masters,Hong Kong Cricket Club Young Masters,Masters - Java Road (M - JRSC),4,01/11/2018,4-1,"['3-1', '3-0', '3-1', '2-3', '3-0']",4,1,14,5
The Hong Kong Jockey Club M4,Bolton,HKJC Sha Tin Club House (HKJC),4,01/11/2018,3-2,"['3-1', '3-0', '3-1', '0-3', '0-3']",3,2,9,8
Royal Hong Kong Yacht Club M4,HK Club Blue,Royal Hong Kong Yacht Club (RHKYC),4,01/11/2018,1-4,"['2-3', '2-3', '2-3', '3-0', '0-3']",1,4,9,12
Bolton,Hong Kong Football Club M4,Masters - HK Squash Centre (M - HKSC),5,08/11/2018,3-2,"['1-3', '3-0', '3-0', '1-3', '3-0']",3,2,11,6
Perrier Sergio Tacchini KCC M4,Hong Kong Cricket Club Young Masters,Kowloon Cricket Club (KCC),5,08/11/2018,2-3,"['3-0', '1-3', '1-3', '0-3', '3-0']",2,3,8,9
WAKO Masters,Royal Hong Kong Yacht Club M4,Masters - Java Road (M - JRSC),5,08/11/2018,5-0,"['3-1', '3-1', '3-0', '3-0', '3-0']",5,0,15,2
Phoenix 1,The Hong Kong Jockey Club M4,Masters - HK Squash Centre (M - HKSC),5,08/11/2018,3-2,"['3-0', '3-2', '3-1', '0-3', '1-3']",3,2,10,9
Hong Kong Football Club M4,Phoenix 1,Hong Kong Football Club (HKFC),6,15/11/2018,2-3,"['0-3', '3-0', '3-2', '2-3', '0-3']",2,3,8,11
Hong Kong Cricket Club Young Masters,Bolton,Hong Kong Cricket Club (HKCC),6,15/11/2018,4-1,"['3-0', '3-0', '3-1', '2-3', '3-0']",4,1,14,4
HK Club Blue,WAKO Masters,HK CLUB,6,15/11/2018,0-5,"['1-3', '2-3', '0-3', '0-3', '0-3']",0,5,3,15
Royal Hong Kong Yacht Club M4,Perrier Sergio Tacchini KCC M4,Royal Hong Kong Yacht Club (RHKYC),6,15/11/2018,0-5,"['2-3', '1-3', '0-3', '0-3', '0-3']",0,5,3,15
Perrier Sergio Tacchini KCC M4,HK Club Blue,Kowloon Cricket Club (KCC),7,29/11/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-1']",5,0,15,1
Bolton,Royal Hong Kong Yacht Club M4,Masters - HK Squash Centre (M - HKSC),7,29/11/2018,5-0,"['3-1', '3-1', '3-2', '3-0', '3-0']",5,0,15,4
The Hong Kong Jockey Club M4,Hong Kong Football Club M4,HKJC Sha Tin Club House (HKJC),7,29/11/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-1']",5,0,15,1
Hong Kong Cricket Club Young Masters,Phoenix 1,Hong Kong Cricket Club (HKCC),7,29/11/2018,3-2,"['0-3', '1-3', '3-0', '3-1', '3-1']",3,2,10,8
The Hong Kong Jockey Club M4,Hong Kong Cricket Club Young Masters,HKJC Sha Tin Club House (HKJC),8,06/12/2018,2-3,"['2-3', '3-0', '3-0', '1-3', '2-3']",2,3,11,9
HK Club Blue,Bolton,HK CLUB,8,06/12/2018,1-4,"['0-3', '0-3', '1-3', '0-3', '3-0']",1,4,4,12
Royal Hong Kong Yacht Club M4,Phoenix 1,Royal Hong Kong Yacht Club (RHKYC),8,06/12/2018,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
WAKO Masters,Perrier Sergio Tacchini KCC M4,Masters - Java Road (M - JRSC),8,06/12/2018,2-3,"['0-3', '0-3', '3-2', '1-3', '3-0']",2,3,7,11
Hong Kong Football Club M4,Hong Kong Cricket Club Young Masters,Hong Kong Football Club (HKFC),9,13/12/2018,1-4,"['2-3', '0-3', '0-3', '3-1', '2-3']",1,4,7,13
Bolton,WAKO Masters,Masters - HK Squash Centre (M - HKSC),9,13/12/2018,0-5,"['1-3', '1-3', '0-3', '0-3', '0-3']",0,5,2,15
Royal Hong Kong Yacht Club M4,The Hong Kong Jockey Club M4,Royal Hong Kong Yacht Club (RHKYC),9,13/12/2018,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15
Phoenix 1,HK Club Blue,Masters - HK Squash Centre (M - HKSC),9,13/12/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-2']",5,0,15,2
Bolton,Perrier Sergio Tacchini KCC M4,Masters - HK Squash Centre (M - HKSC),10,03/01/2019,1-4,"['0-3', '3-1', '0-3', '0-3', '2-3']",1,4,5,13
Hong Kong Football Club M4,Royal Hong Kong Yacht Club M4,Hong Kong Football Club (HKFC),10,03/01/2019,4-1,"['3-0', '3-1', '2-3', '3-0', '3-0']",4,1,14,4
The Hong Kong Jockey Club M4,HK Club Blue,HKJC Sha Tin Club House (HKJC),10,03/01/2019,3-2,"['3-1', '3-1', '3-0', '0-3', '1-3']",3,2,10,8
Phoenix 1,WAKO Masters,Masters - HK Squash Centre (M - HKSC),10,03/01/2019,5-0,"['3-0', '3-0', '3-0', '3-2', '3-0']",5,0,15,2
Perrier Sergio Tacchini KCC M4,Phoenix 1,Kowloon Cricket Club (KCC),11,10/01/2019,2-3,"['1-3', '1-3', '1-3', '3-1', '3-2']",2,3,9,12
HK Club Blue,Hong Kong Football Club M4,HK CLUB,11,10/01/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Royal Hong Kong Yacht Club M4,Hong Kong Cricket Club Young Masters,Royal Hong Kong Yacht Club (RHKYC),11,10/01/2019,0-5,"['1-3', '0-3', '0-3', '0-3', '0-3']",0,5,1,15
WAKO Masters,The Hong Kong Jockey Club M4,Masters - Java Road (M - JRSC),11,10/01/2019,0-5,"['0-3', '2-3', '2-3', '0-3', '2-3']",0,5,6,15
Hong Kong Cricket Club Young Masters,HK Club Blue,Hong Kong Cricket Club (HKCC),12,17/01/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-2']",5,0,15,2
WAKO Masters,Hong Kong Football Club M4,Masters - Java Road (M - JRSC),12,17/01/2019,2-3,"['3-0', '0-3', '3-1', '1-3', '0-3']",2,3,7,10
The Hong Kong Jockey Club M4,Perrier Sergio Tacchini KCC M4,HKJC Sha Tin Club House (HKJC),12,17/01/2019,1-4,"['0-3', '0-3', '1-3', '3-1', '0-3']",1,4,4,13
Phoenix 1,Bolton,Masters - HK Squash Centre (M - HKSC),12,17/01/2019,4-1,"['3-0', '3-2', '0-3', '3-0', '3-0']",4,1,12,5
Perrier Sergio Tacchini KCC M4,Hong Kong Football Club M4,Kowloon Cricket Club (KCC),13,24/01/2019,4-1,"['3-0', '2-3', '3-1', '3-0', '3-1']",4,1,14,5
Bolton,The Hong Kong Jockey Club M4,Masters - HK Squash Centre (M - HKSC),13,24/01/2019,0-5,"['0-3', '0-3', '1-3', '0-3', '2-3']",0,5,3,15
HK Club Blue,Royal Hong Kong Yacht Club M4,HK CLUB,13,24/01/2019,4-1,"['3-0', '0-3', '3-0', '3-1', '3-0']",4,1,12,4
Hong Kong Cricket Club Young Masters,WAKO Masters,Hong Kong Cricket Club (HKCC),13,24/01/2019,2-3,"['3-1', '3-0', '0-3', '1-3', '0-3']",2,3,7,10
Hong Kong Football Club M4,Bolton,Hong Kong Football Club (HKFC),14,31/01/2019,0-5,"['2-3', '2-3', '0-3', '0-3', '0-3']",0,5,4,15
