Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Spark 5,Smart Squash 6,HK Squash Centre (HKSC),1,06/10/2018,1-4,"['1-3', '0-3', '3-0', '0-3', '0-3']",1,4,4,12
i-Mask Advance Squash Club 15,Diocesan,Cornwall Street (CSPSC),1,06/10/2018,4-1,"['3-0', '3-0', '3-0', '3-0', 'CR']",4,1,15,0
The Zero Squash Club D19,KYS 2,Cornwall Street (CSPSC),1,06/10/2018,4-1,"['0-3', '3-0', '3-0', '3-1', '3-0']",4,1,12,4
Hong Kong Football Club 19,United Services Recreation Club 4,Hong Kong Football Club (HKFC),1,06/10/2018,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1
KYS 2,Spark 5,HK Squash Centre (HKSC),2,13/10/2018,2-3,"['3-0', '0-3', '0-3', '3-0', '0-3']",2,3,6,9
Smart Squash 6,Hong Kong Football Club 19,Cornwall Street (CSPSC),2,13/10/2018,2-3,"['0-3', '0-3', '0-3', '3-0', '3-0']",2,3,6,9
i-Mask Advance Squash Club 15,The Zero Squash Club D19,Cornwall Street (CSPSC),2,13/10/2018,1-4,"['0-3', '0-3', '0-3', '3-0', 'CR']",1,4,3,12
United Services Recreation Club 4,Diocesan,United Services Recreation Club (USRC),2,13/10/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Spark 5,i-Mask Advance Squash Club 15,HK Squash Centre (HKSC),3,10/11/2018,0-5,"['0-3', '1-3', '0-3', '0-3', '1-3']",0,5,2,15
The Zero Squash Club D19,Diocesan,Cornwall Street (CSPSC),3,10/11/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
KYS 2,Hong Kong Football Club 19,HK Squash Centre (HKSC),3,10/11/2018,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
United Services Recreation Club 4,Smart Squash 6,United Services Recreation Club (USRC),3,10/11/2018,4-1,"['3-1', '3-0', '3-0', '3-2', '1-3']",4,1,13,6
United Services Recreation Club 4,KYS 2,United Services Recreation Club (USRC),4,17/11/2018,4-1,"['3-0', '3-0', '3-0', '3-0', '0-3']",4,1,12,3
Diocesan,Smart Squash 6,Cornwall Street (CSPSC),4,17/11/2018,0-5,"['0-3', '0-3', '0-2', '0-3', 'CR']",0,5,0,14
i-Mask Advance Squash Club 15,Hong Kong Football Club 19,Cornwall Street (CSPSC),4,17/11/2018,3-2,"['0-3', '3-0', '3-0', '3-2', 'WO']",3,2,12,5
The Zero Squash Club D19,Spark 5,Cornwall Street (CSPSC),4,17/11/2018,2-3,"['3-0', '3-1', '0-3', '0-3', '2-3']",2,3,8,10
Diocesan,Spark 5,Cornwall Street (CSPSC),5,01/12/2018,0-5,"['0-3', 'CR', 'CR', 'CR', 'CR']",0,5,0,15
Smart Squash 6,KYS 2,Cornwall Street (CSPSC),5,01/12/2018,5-0,"['3-1', '3-0', '3-0', 'CR', 'CR']",5,0,15,1
Hong Kong Football Club 19,The Zero Squash Club D19,Hong Kong Football Club (HKFC),5,01/12/2018,2-3,"['0-3', '0-3', '3-0', '0-3', '3-1']",2,3,6,10
i-Mask Advance Squash Club 15,United Services Recreation Club 4,Cornwall Street (CSPSC),5,01/12/2018,2-3,"['0-3', '3-1', '0-3', '0-3', '3-0']",2,3,6,10
Hong Kong Football Club 19,Spark 5,Hong Kong Football Club (HKFC),6,08/12/2018,4-1,"['3-0', '3-0', '0-3', 'WO', 'WO']",4,1,12,3
The Zero Squash Club D19,United Services Recreation Club 4,Cornwall Street (CSPSC),6,08/12/2018,3-2,"['3-0', '0-3', '2-3', '3-2', '3-0']",3,2,11,8
Diocesan,KYS 2,Cornwall Street (CSPSC),6,08/12/2018,1-3,"['3-0', '1-3', '0-3', 'CR']",1,3,4,9
Smart Squash 6,i-Mask Advance Squash Club 15,Kwun Chung (KCSC),6,08/12/2018,3-2,"['0-3', '0-3', '3-1', '3-0', '3-0']",3,2,9,7
i-Mask Advance Squash Club 15,KYS 2,Cornwall Street (CSPSC),7,15/12/2018,4-1,"['3-0', '3-0', '3-0', '0-3', 'CR']",4,1,12,3
Smart Squash 6,The Zero Squash Club D19,Cornwall Street (CSPSC),7,15/12/2018,3-2,"['0-3', '3-1', '0-3', '3-0', '3-1']",3,2,9,8
Hong Kong Football Club 19,Diocesan,Hong Kong Football Club (HKFC),7,15/12/2018,5-0,"['3-0', '3-1', '3-0', '3-0', '3-0']",5,0,15,1
United Services Recreation Club 4,Spark 5,Kwun Chung (KCSC),7,15/12/2018,5-0,"['3-0', '3-0', '3-0', '3-2', 'WO']",5,0,15,2
KYS 2,The Zero Squash Club D19,HK Squash Centre (HKSC),8,05/01/2019,2-3,"['0-3', '3-0', '0-3', '3-0', '0-3']",2,3,6,9
Smart Squash 6,Spark 5,Cornwall Street (CSPSC),8,05/01/2019,4-1,"['3-1', '3-0', '0-3', '3-0', '3-0']",4,1,12,4
Diocesan,i-Mask Advance Squash Club 15,Cornwall Street (CSPSC),8,05/01/2019,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Hong Kong Football Club 19,United Services Recreation Club 4,Hong Kong Football Club (HKFC),8,05/01/2019,1-4,"['3-0', '1-3', '0-3', '0-3', '0-3']",1,4,4,12
Diocesan,United Services Recreation Club 4,Cornwall Street (CSPSC),9,12/01/2019,0-5,"['0-3', '0-3', '0-3', 'CR', 'CR']",0,5,0,15
Spark 5,KYS 2,HK Squash Centre (HKSC),9,12/01/2019,1-4,"['0-3', '3-2', '2-3', '2-3', '0-3']",1,4,7,14
The Zero Squash Club D19,i-Mask Advance Squash Club 15,Cornwall Street (CSPSC),9,12/01/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Hong Kong Football Club 19,Smart Squash 6,Hong Kong Football Club (HKFC),9,12/01/2019,4-1,"['3-0', '3-0', '3-2', '0-3', 'CR']",4,1,12,5
KYS 2,Hong Kong Football Club 19,HK Squash Centre (HKSC),10,19/01/2019,1-4,"['0-3', '0-3', '1-3', '3-1', '0-3']",1,4,4,13
i-Mask Advance Squash Club 15,Spark 5,Cornwall Street (CSPSC),10,19/01/2019,4-1,"['3-0', '3-0', '3-1', '0-3', 'CR']",4,1,12,4
United Services Recreation Club 4,Smart Squash 6,United Services Recreation Club (USRC),10,19/01/2019,2-3,"['3-0', '1-3', '3-0', '0-3', '0-3']",2,3,7,9
Diocesan,The Zero Squash Club D19,Cornwall Street (CSPSC),10,19/01/2019,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Spark 5,The Zero Squash Club D19,HK Squash Centre (HKSC),11,26/01/2019,1-4,"['0-3', '0-3', '0-3', '3-0', '0-3']",1,4,3,12
KYS 2,United Services Recreation Club 4,HK Squash Centre (HKSC),11,26/01/2019,3-2,"['3-1', '0-3', '1-3', '3-1', '3-2']",3,2,10,10
Smart Squash 6,Diocesan,Cornwall Street (CSPSC),11,26/01/2019,5-0,"['3-0', '3-0', '3-0', '3-0', 'CR']",5,0,15,0
Hong Kong Football Club 19,i-Mask Advance Squash Club 15,Hong Kong Football Club (HKFC),11,26/01/2019,2-3,"['3-0', '3-0', '0-3', '1-3', '1-3']",2,3,8,9
KYS 2,Smart Squash 6,HK Squash Centre (HKSC),12,23/02/2019,1-4,"['2-3', '0-3', '0-3', '3-2', '0-3']",1,4,5,14
Spark 5,Diocesan,HK Squash Centre (HKSC),12,23/02/2019,3-0,"['3-0', '3-0', '3-0']",3,0,9,0
United Services Recreation Club 4,i-Mask Advance Squash Club 15,United Services Recreation Club (USRC),12,23/02/2019,1-4,"['3-0', '2-3', '0-3', '0-3', '0-3']",1,4,5,12
The Zero Squash Club D19,Hong Kong Football Club 19,Cornwall Street (CSPSC),12,23/02/2019,5-0,"['3-2', '3-0', '3-0', '3-0', '3-0']",5,0,15,2
KYS 2,Diocesan,HK Squash Centre (HKSC),13,02/03/2019,4-1,"['3-0', '3-2', '3-0', '2-3', 'CR']",4,1,14,5
Smart Squash 6,i-Mask Advance Squash Club 15,Cornwall Street (CSPSC),13,02/03/2019,2-3,"['1-3', '0-3', '0-3', '3-2', '3-1']",2,3,7,12
Spark 5,Hong Kong Football Club 19,HK Squash Centre (HKSC),13,02/03/2019,3-2,"['0-3', '0-3', '3-0', '3-0', 'CR']",3,2,9,6
United Services Recreation Club 4,The Zero Squash Club D19,United Services Recreation Club (USRC),13,02/03/2019,2-3,"['2-3', '1-3', '3-0', '0-3', '3-0']",2,3,9,9
Spark 5,United Services Recreation Club 4,HK Squash Centre (HKSC),14,09/03/2019,1-4,"['0-3', '0-3', '0-3', '0-3', '3-0']",1,4,3,12
Diocesan,Hong Kong Football Club 19,Cornwall Street (CSPSC),14,09/03/2019,0-5,"['0-3', '0-3', '0-3', '0-3', 'CR']",0,5,0,15
The Zero Squash Club D19,Smart Squash 6,Kwun Chung (KCSC),14,09/03/2019,5-0,"['3-0', '3-0', '3-0', 'CR', 'CR']",5,0,15,0
KYS 2,i-Mask Advance Squash Club 15,HK Squash Centre (HKSC),14,09/03/2019,1-4,"['1-3', '0-3', '0-3', '3-0', '0-3']",1,4,4,12
Spark 5,Smart Squash 6,HK Squash Centre (HKSC),15,16/03/2019,1-4,"['1-3', '0-3', '3-2', 'CR', 'CR']",1,4,4,14
The Zero Squash Club D19,KYS 2,Cornwall Street (CSPSC),15,16/03/2019,3-2,"['3-2', '0-3', '3-0', '0-3', '3-0']",3,2,9,8
i-Mask Advance Squash Club 15,Diocesan,Cornwall Street (CSPSC),15,16/03/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
United Services Recreation Club 4,Hong Kong Football Club 19,United Services Recreation Club (USRC),15,16/03/2019,4-1,"['3-0', '3-0', '3-2', '3-0', '0-3']",4,1,12,5
KYS 2,Spark 5,HK Squash Centre (HKSC),16,23/03/2019,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
Smart Squash 6,Hong Kong Football Club 19,Cornwall Street (CSPSC),16,23/03/2019,0-5,"['0-3', '0-3', '0-3', '1-3', 'CR']",0,5,1,15
United Services Recreation Club 4,Diocesan,United Services Recreation Club (USRC),16,23/03/2019,5-0,"['3-0', '3-1', '3-0', '3-0', 'WO']",5,0,15,1
i-Mask Advance Squash Club 15,The Zero Squash Club D19,Cornwall Street (CSPSC),16,23/03/2019,2-3,"['0-3', '0-3', '1-3', '3-1', '3-0']",2,3,7,10
Spark 5,i-Mask Advance Squash Club 15,HK Squash Centre (HKSC),17,30/03/2019,1-4,"['0-3', '0-3', '0-3', '0-3', '3-0']",1,4,3,12
The Zero Squash Club D19,Diocesan,Cornwall Street (CSPSC),17,30/03/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Hong Kong Football Club 19,KYS 2,Hong Kong Football Club (HKFC),17,30/03/2019,4-1,"['3-1', '3-0', '3-0', '1-3', '3-0']",4,1,13,4
Smart Squash 6,United Services Recreation Club 4,Cornwall Street (CSPSC),17,30/03/2019,1-4,"['0-3', '0-3', '0-3', '0-3', '3-0']",1,4,3,12
KYS 2,United Services Recreation Club 4,HK Squash Centre (HKSC),18,06/04/2019,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Hong Kong Football Club 19,i-Mask Advance Squash Club 15,Hong Kong Football Club (HKFC),18,06/04/2019,0-5,"['0-3', '0-3', 'CR', 'CR', 'CR']",0,5,0,15
Diocesan,Smart Squash 6,Cornwall Street (CSPSC),18,06/04/2019,1-4,"['1-3', '0-3', '0-3', '0-3', 'CR']",1,4,1,15
The Zero Squash Club D19,Spark 5,Cornwall Street (CSPSC),18,06/04/2019,5-0,"['3-0', '3-2', '3-1', 'CR', 'CR']",5,0,15,3
Spark 5,Diocesan,HK Squash Centre (HKSC),19,13/04/2019,4-1,"['3-1', '3-0', '3-0', '3-0', 'CR']",4,1,15,1
Smart Squash 6,KYS 2,Cornwall Street (CSPSC),19,13/04/2019,2-3,"['0-3', '3-0', '3-1', '1-3', '0-3']",2,3,7,10
Hong Kong Football Club 19,The Zero Squash Club D19,Hong Kong Football Club (HKFC),19,13/04/2019,1-4,"['3-1', '0-3', '0-3', '0-3', '2-3']",1,4,5,13
United Services Recreation Club 4,i-Mask Advance Squash Club 15,United Services Recreation Club (USRC),19,13/04/2019,3-2,"['3-0', '3-0', '1-3', '3-0', '1-3']",3,2,11,6
Spark 5,Hong Kong Football Club 19,HK Squash Centre (HKSC),20,04/05/2019,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15
i-Mask Advance Squash Club 15,Smart Squash 6,Cornwall Street (CSPSC),20,04/05/2019,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1
Diocesan,KYS 2,Cornwall Street (CSPSC),20,04/05/2019,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
United Services Recreation Club 4,The Zero Squash Club D19,United Services Recreation Club (USRC),20,04/05/2019,3-2,"['3-2', '0-3', '3-1', '0-3', '3-1']",3,2,9,10
KYS 2,i-Mask Advance Squash Club 15,HK Squash Centre (HKSC),21,11/05/2019,1-4,"['2-3', '0-3', '0-3', '0-3', 'CR']",1,4,2,15
The Zero Squash Club D19,Smart Squash 6,Cornwall Street (CSPSC),21,11/05/2019,4-1,"['3-0', '3-0', '3-0', '0-3', '3-0']",4,1,12,3
Hong Kong Football Club 19,Diocesan,Hong Kong Football Club (HKFC),21,11/05/2019,5-0,"['3-0', '3-0', '3-0', '3-0', 'CR']",5,0,15,0
United Services Recreation Club 4,Spark 5,United Services Recreation Club (USRC),21,11/05/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
