Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Spark 2,Twister 1,HK Squash Centre (HKSC),1,12/10/2018,2-3,"['1-3', '0-3', '3-0', '3-1', 'WO']",2,3,7,10
Neptune,United Services Recreation Club 2,Cornwall Street (CSPSC),1,12/10/2018,3-2,"['3-2', '1-3', '3-1', '3-0', '0-3']",3,2,10,9
i-Mask Advance Squash Club 4,i-Mask Advance Squash Club 3,Cornwall Street (CSPSC),1,12/10/2018,4-1,"['3-1', '0-3', '3-0', '3-0', '3-0']",4,1,12,4
YLJR 1,Tuen Mun Squash Club 1,Lai King (LKSC),1,12/10/2018,4-1,"['3-0', '3-0', '3-0', '3-0', '0-3']",4,1,12,3
Fung King Tough,The Zero Squash Club D7,Wai Tsuen (WTSC),1,12/10/2018,1-4,"['3-1', '2-3', '1-3', '0-3', '0-3']",1,4,6,13
Friend Club 3,Hong Kong Football Club 7,Cornwall Street (CSPSC),1,12/10/2018,2-3,"['3-0', '0-3', '0-3', '0-3', '3-1']",2,3,6,10
Fung King Tough,i-Mask Advance Squash Club 4,Wai Tsuen (WTSC),2,19/10/2018,3-2,"['3-0', '3-1', '3-0', '2-3', '0-3']",3,2,11,7
Friend Club 3,Spark 2,Cornwall Street (CSPSC),2,19/10/2018,2-3,"['3-0', '3-0', '1-3', '0-3', '2-3']",2,3,9,9
Hong Kong Football Club 7,i-Mask Advance Squash Club 3,Hong Kong Football Club (HKFC),2,19/10/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-1']",5,0,15,1
YLJR 1,Twister 1,Lai King (LKSC),2,19/10/2018,2-3,"['3-0', '1-3', '3-1', '0-3', '0-3']",2,3,7,10
Neptune,Tuen Mun Squash Club 1,Cornwall Street (CSPSC),2,19/10/2018,3-2,"['3-1', '3-0', '3-0', '0-3', '0-3']",3,2,9,7
United Services Recreation Club 2,The Zero Squash Club D7,United Services Recreation Club (USRC),2,19/10/2018,3-2,"['1-3', '3-0', '1-3', '3-0', '3-0']",3,2,11,6
Twister 1,Hong Kong Football Club 7,Cornwall Street (CSPSC),3,26/10/2018,5-0,"['3-1', '3-1', '3-0', '3-0', '3-0']",5,0,15,2
Fung King Tough,i-Mask Advance Squash Club 3,Wai Tsuen (WTSC),3,26/10/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Friend Club 3,i-Mask Advance Squash Club 4,Cornwall Street (CSPSC),3,26/10/2018,3-2,"['3-0', '3-0', '1-3', '1-3', '3-2']",3,2,11,8
The Zero Squash Club D7,Neptune,Cornwall Street (CSPSC),3,26/10/2018,3-2,"['0-3', '3-2', '1-3', '3-0', 'WO']",3,2,10,8
Tuen Mun Squash Club 1,Spark 2,Yau Oi (YOSC),3,26/10/2018,2-3,"['1-3', '0-3', '3-2', '1-3', 'CR']",2,3,5,14
United Services Recreation Club 2,YLJR 1,United Services Recreation Club (USRC),3,26/10/2018,5-0,"['3-1', '3-1', '3-0', '3-1', '3-1']",5,0,15,4
Spark 2,United Services Recreation Club 2,HK Squash Centre (HKSC),4,02/11/2018,1-4,"['2-3', '1-3', '3-1', '0-3', 'CR']",1,4,6,13
i-Mask Advance Squash Club 3,Friend Club 3,Cornwall Street (CSPSC),4,02/11/2018,1-4,"['0-3', '2-3', '3-0', '0-3', '0-3']",1,4,5,12
Twister 1,i-Mask Advance Squash Club 4,Cornwall Street (CSPSC),4,02/11/2018,2-3,"['2-3', '3-2', '1-3', '2-3', '3-0']",2,3,11,11
The Zero Squash Club D7,YLJR 1,Cornwall Street (CSPSC),4,02/11/2018,3-2,"['3-1', '1-3', '3-2', '3-1', '0-3']",3,2,10,10
Fung King Tough,Neptune,Wai Tsuen (WTSC),4,02/11/2018,5-0,"['3-1', '3-0', '3-0', '3-0', '3-2']",5,0,15,3
Hong Kong Football Club 7,Tuen Mun Squash Club 1,Hong Kong Football Club (HKFC),4,02/11/2018,5-0,"['3-0', '3-1', '3-0', '3-2', '3-0']",5,0,15,3
Twister 1,i-Mask Advance Squash Club 3,Cornwall Street (CSPSC),5,09/11/2018,5-0,"['3-0', '3-0', '3-1', '3-1', '3-0']",5,0,15,2
Friend Club 3,Fung King Tough,Cornwall Street (CSPSC),5,09/11/2018,3-2,"['1-3', '3-0', '3-0', '0-3', '3-1']",3,2,10,7
