Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Tin Charlotte Pui Lam (15),Tin Charlotte Pui Lam (14),Zheng Fiona Zixuan (100.0%)
Fusion Squash Club 4,Liu Riley (14),"Mei Tianle Arthur, Liu Riley, Li Asher (2)",Li Asher (25.0%)
Hong Kong Football Club 14,Wan Damien Tin Chun (15),Wan Damien Tin Chun (9),Soo Ting He Nico (100.0%)
Ladies Recreation Club Div 14,Chen Peak Julian (16),Chen Peak Julian (6),Lui-Schwille Tristan Alexander Yifeng (38.5%)
North District Sports Association 2,Fung Yau On (17),Fung Yau On (14),"Lee Yui Hin, Lee Man Lok Raymond (100.0%)"
Physical Chess 5,"Wong Ho Tong, Chan Chun Ho, Fung Tin Lok, Chan Cheuk Nam (12)","Chan Chun Ho, Tin Nok Lam (9)",Tin Nok Lam (81.8%)
RELAY 2,"Chung Yui On Jake, Cheng Nic (13)",Chung Yui On Jake (9),Cheung Cheuk Wai (72.7%)
Royal Hong Kong Yacht Club Div 14,"Oei Chuen Shek Joseph, Lai Ming Wah (14)",Oei Chuen Shek Joseph (12),Chaudhry Ali (100.0%)
Squash-On,Lau Hayden (15),"Lau Hayden, Huang Xin Min (5)",Huang Xin Min (55.6%)
TKO Junior 1,Lee Man Yu (16),Jong Kwok Wai (12),Jong Kwok Wai (92.3%)
TNG 3,"Kwan Yui Tang, Kwan King Lok, Ho Yiu Hei (12)",Kwan Yui Tang (9),Kwan Yui Tang (75.0%)
The Squash Club 4,Chung Tsam Yee (18),Chung Tsam Yee (18),"Chung Tsam Yee, Ngan Joan, Hui Chi Hin (100.0%)"
