Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club D7A,Ngo Joshua (14),"Bhandari Raghav, Aw Adrian (7)",Lau Kwai Hong (83.3%)
Hong Kong Cricket Club D7B,Dickson Robert (13),Hathiramani Sahil Ajit (7),Montefiore Alexander (100.0%)
Hong Kong Football Club 7A,Yeung Yurisa (14),Yeung Yurisa (10),Wong Yu San (100.0%)
Hong Kong Football Club 7B,Yeung Himmy Cheuk Him (17),Li Samuel Kwok Sing (12),Li Samuel Kwok Sing (100.0%)
Kinetic 1,Lin Charles Lan Kay (14),Gibert Kai Shaun Otto (6),Gibert Kai Shaun Otto (66.7%)
Physical Chess 2,Dai Kwun San Harry (14),Wong Wai Lap (11),Lee Darren Ching Him (100.0%)
Social Squash Team,"Catherine Loic, Adjemian Nicolas (12)","Catherine Loic, Toernell Henrik, Adjemian Nicolas (6)",Toernell Henrik (66.7%)
Thunder 1,"Wong Hui Sing, Siu Chen Dong (12)",Wong Hui Sing (8),Wong Hui Sing (66.7%)
UST,Wong Chi Hang Frankie (11),Wong Chi Hang Frankie (9),Wong Chi Hang Frankie (81.8%)
Xavier,"Tam Kai Chung Hades, Chan Keiko Tsun Ling, Chan Ping Him Kevin (16)",Chan Keiko Tsun Ling (11),Chan Keiko Tsun Ling (68.8%)
i-Mask Advance Squash Club 1,Li Chi Hei (17),Li Chi Hei (14),Leung Ka Long (100.0%)
