Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 7B,3,2,1,12,10,5,0,0,0,0
Hong Kong Cricket Club D7A,3,2,1,10,8,7,0,1,0,0
Hong Kong Football Club 7A,3,2,1,10,8,7,0,0,0,0
Thunder 1,3,2,1,9,7,8,0,1,0,0
Physical Chess 2,2,2,0,9,7,3,0,1,0,0
i-Mask Advance Squash Club 1,3,1,2,9,8,7,0,0,0,0
Xavier,3,1,2,9,8,7,3,0,0,0
Hong Kong Cricket Club D7B,3,1,2,7,6,9,0,0,0,0
Social Squash Team,2,1,1,6,5,5,0,0,0,0
UST,2,1,1,6,5,5,1,0,0,0
Kinetic 1,3,0,3,3,3,12,0,1,0,0
