Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,3,3,0,14,11,4,0,0,0,0
Hong Kong Football Club M4A,3,2,1,13,11,4,0,0,0,0
Hong Kong Club Blue,3,2,1,10,8,7,0,0,0,0
Royal Hong Kong Yacht Club M4,3,2,1,10,8,7,0,0,0,0
WAKO,3,2,1,10,8,7,0,0,0,0
Kowloon Cricket Club M4,3,1,2,8,7,8,0,0,0,0
Hong Kong Football Club M4B,3,1,2,7,6,9,0,0,0,0
Hong Kong Cricket Club M4,3,1,2,6,5,10,0,0,0,0
Bolton,3,1,2,6,5,10,0,0,0,0
United Services Recreation Club M4,3,0,3,6,6,9,0,0,0,0
