Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,3,3,0,18,15,0,0,0,0,0
RELAY 1,2,2,0,11,9,1,0,0,0,0
Kwai Tsing District Squash Club,3,2,1,10,8,7,0,0,0,0
United Services Recreation Club 3,2,2,0,10,8,2,0,0,0,0
Thunder 2,2,1,1,7,6,4,0,0,0,0
i-Mask Advance Squash Club 4,2,1,1,5,4,6,0,0,0,0
Squashathon Advance,2,1,1,4,3,7,0,0,0,0
Mercury,2,0,2,3,3,7,0,0,0,0
Banbil,3,0,3,2,2,13,0,0,0,0
Hong Kong Cricket Club D10,1,0,1,2,2,3,0,0,0,0
Bravo D10,2,0,2,0,0,10,0,0,0,0
