Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,7,7,0,24
Hong Kong Football Club M1B,6,4,2,15
Hong Kong Cricket Club M1A,6,3,3,15
Hong Kong Cricket Club M1B,7,1,6,7
Squashathon M+,6,1,5,3
