Team,Played,Won,Lost,Points
Physical Chess 2,7,7,0,34
Hong Kong Football Club 7B,7,5,2,29
Hong Kong Football Club 7A,7,6,1,27
Thunder 1,8,5,3,26
Hong Kong Cricket Club D7A,7,4,3,24
UST,7,3,4,19
Hong Kong Cricket Club D7B,7,3,4,18
i-Mask Advance Squash Club 1,8,2,6,18
Xavier,7,2,5,17
Social Squash Team,7,2,5,15
Kinetic 1,8,1,7,12
