Team,Played,Won,Lost,Points
Hong Kong Cricket Club D1,8,6,2,20
Hong Kong Football Club 1A,8,5,3,20
Kowloon Cricket Club 1A,8,4,4,19
Hong Kong Football Club 1B,8,4,4,17
FWD,8,3,5,12
Kowloon Cricket Club 1B,8,2,6,8
