Team,Played,Won,Lost,Points
Kowloon Cricket Club L1A,7,6,1,21
Hong Kong Football Club L1,6,3,3,14
JESSICA L1,7,3,4,13
Kowloon Cricket Club L1B,6,3,3,11
Hong Kong Cricket Club L1,6,1,5,5
