Team Name,Home,Average Home Score,Average Away Score,Difference
Friend Club 6,Cornwall Street Squash Centre,2.3333333333333335,0.2,2.1333333333333333
Kinetic 1,Yuen Long Jockey Club Squash Courts,3.3333333333333335,1.5,1.8333333333333335
Smart Squash 1,Tai Po Sports Ground,3.5555555555555554,2.2222222222222223,1.333333333333333
EdUHK,Cornwall Street Squash Centre,1.5,0.4,1.1
Fusion Squash Club 2,HK Squash Centre,3.7777777777777777,2.75,1.0277777777777777
TNG 3,Cornwall Street Squash Centre,2.25,1.4,0.8500000000000001
Hong Kong Cricket Club 5,Hong Kong Cricket Club,3.111111111111111,2.4444444444444446,0.6666666666666665
Squashathon Zero,Cornwall Street Squash Centre,3.4,3.5,-0.10000000000000009
Sha Tin Squash Rackets Club Team 3,Cornwall Street Squash Centre,3.8333333333333335,4.2,-0.3666666666666667
YLJR 2,Cornwall Street Squash Centre,0.75,1.1428571428571428,-0.3928571428571428
