Team Name,Home,Average Home Score,Average Away Score,Difference
Hong Kong Cricket Club 3,Hong Kong Cricket Club,3.0,1.4444444444444444,1.5555555555555556
Twister 1,Cornwall Street Squash Centre,2.6,1.2,1.4000000000000001
Sha Tin Squash Rackets Club Team 2,Cornwall Street Squash Centre,3.4,2.0,1.4
Global 1,HK Squash Centre,3.6666666666666665,2.7777777777777777,0.8888888888888888
Friend Club 2,Cornwall Street Squash Centre,1.2,0.4,0.7999999999999999
Hong Kong Football Club 8A,Hong Kong Football Club,3.0,2.25,0.75
Hong Kong Football Club 8B,Hong Kong Football Club,2.75,2.0,0.75
Sergio Tacchini KCC 8,Kowloon Cricket Club,3.6666666666666665,3.111111111111111,0.5555555555555554
TSC,Cornwall Street Squash Centre,1.6,1.8,-0.19999999999999996
Physical Chess Squash Club Academy 2,Cornwall Street Squash Centre,2.8,3.2,-0.40000000000000036
