Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Kowloon Cricket Club 13,Greenfield,Kowloon Cricket Club,15,2024-02-21,2.8706,3.1294
Friend Club 5,ATM,Cornwall Street Squash Centre,15,2024-02-21,3.6038,2.3962
Kinetic 2,BOSS,HK Squash Centre,15,2024-02-21,4.1404,1.8596
Hong Kong Football Club 13,i-Mask Advance Squash Club 5,Hong Kong Football Club,15,2024-02-21,3.8964,2.1036
i-Mask Advance Squash Club 5,Kinetic 2,Cornwall Street Squash Centre,16,2024-02-28,2.5136,3.4864
BOSS,Friend Club 5,Cornwall Street Squash Centre,16,2024-02-28,1.939,4.061
ATM,Kowloon Cricket Club 13,Cornwall Street Squash Centre,16,2024-02-28,2.2448,3.7552
Greenfield,Centre Squash,Cornwall Street Squash Centre,16,2024-02-28,4.8438,1.1562
Centre Squash,ATM,HK Squash Centre,17,2024-03-06,2.4548,3.5452
Kowloon Cricket Club 13,BOSS,Kowloon Cricket Club,17,2024-03-06,4.28,1.72
Friend Club 5,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,17,2024-03-06,3.4264,2.5736
Kinetic 2,Hong Kong Football Club 13,HK Squash Centre,17,2024-03-06,3.1198,2.8802
Friend Club 5,Hong Kong Football Club 13,Cornwall Street Squash Centre,18,2024-03-13,2.8874,3.1126
i-Mask Advance Squash Club 5,Kowloon Cricket Club 13,Cornwall Street Squash Centre,18,2024-03-13,2.495,3.505
BOSS,Centre Squash,Cornwall Street Squash Centre,18,2024-03-13,3.5366,2.4634
ATM,Greenfield,Cornwall Street Squash Centre,18,2024-03-13,1.7862,4.2138
