Team,Played,Won,Lost,Points
Kowloon Cricket Club L1A,6,5,1,18
JESSICA L1,6,3,3,12
Kowloon Cricket Club L1B,6,3,3,11
Hong Kong Football Club L1,5,2,3,11
Hong Kong Cricket Club L1,5,1,4,4
