Team,Played,Won,Lost,Points
Happy Squash 4,7,7,0,33
Electrify Squash Div 13,7,5,2,27
Kowloon Cricket Club 13,6,5,1,26
Squashathon One,6,3,3,21
Hong Kong Football Club 13,6,3,3,19
Fusion Squash Club 3,6,1,5,11
Yuen Long District Sports Association Limited,6,2,4,10
TNG 2,5,1,4,9
Kinetic 4,5,0,5,6
