Team,Played,Won,Lost,Points
JESSICA L4,6,6,0,25
The Squash Club L4,6,4,2,19
JESSICA Mochis,6,4,2,19
Hong Kong Football Club JSA,6,3,3,16
Hong Kong Football Club L4,7,2,5,14
Hong Kong Cricket Club L4,6,3,3,13
Hong Kong Cricket Club Rockettes,6,3,3,12
Kwai Tsing District Squash Club L4,7,1,6,11
Squashathon Ladies,6,2,4,10
