Team,Played,Won,Lost,Points
JESSICA L3,5,4,1,18
Hong Kong Cricket Club L3,5,4,1,16
Hong Kong Football Club L3B,6,3,3,16
Hong Kong Football Club L3A,6,2,4,13
Hong Kong Football Club L3C,6,1,5,7
