Team,Played,Won,Lost,Points
Kowloon Cricket Club M3,6,5,1,26
Hong Kong Football Club M3A,6,4,2,26
Hong Kong Cricket Club M3,6,4,2,24
Hong Kong Football Club M3B,6,4,2,20
Royal Hong Kong Yacht Club M3,6,3,3,20
Titlows Squash Master,6,1,5,8
OSF,6,0,6,2
