Team,Played,Won,Lost,Points
Kowloon Cricket Club 1A,7,4,3,18
Hong Kong Cricket Club D1,7,5,2,17
Hong Kong Football Club 1A,7,4,3,16
Hong Kong Football Club 1B,7,4,3,16
FWD,7,3,4,12
Kowloon Cricket Club 1B,7,1,6,5
